Source,Target,Weight
Jerry Garcia,Bob Dylan,3
Jerry Garcia,Chuck Berry,3
Jerry Garcia,David Crosby,1
Jerry Garcia,Grateful Dead,59
Jerry Garcia,John Lee Hooker,1
Jerry Garcia,Robert Hunter (lyricist),2
Fred Neil,Bob Dylan,2
Fred Neil,David Crosby,3
Fred Neil,Elvis Presley,1
Fred Neil,Joni Mitchell,2
Fred Neil,Roy Orbison,3
Keith Richards,Billie Holiday,1
Keith Richards,Bob Dylan,1
Keith Richards,Chuck Berry,9
Keith Richards,Eric Clapton,1
Keith Richards,Hank Williams,2
Keith Richards,John Lee Hooker,2
Keith Richards,John Lennon,2
Keith Richards,Leonard Cohen,2
Keith Richards,Mick Jagger,8
Keith Richards,Muddy Waters,1
Keith Richards,The Beatles,3
Keith Richards,Tom Waits,2
Keith Richards,Willie Nelson,1
Keith Richards,Yoko Ono,2
The Association,Bob Dylan,1
The Association,David Crosby,1
The Association,Joan Baez,1
The Association,The Turtles,4
George Harrison,Bob Dylan,4
George Harrison,Chuck Berry,2
George Harrison,David Crosby,1
George Harrison,Elton John,1
George Harrison,Elvis Presley,1
George Harrison,Eric Clapton,9
George Harrison,Frank Sinatra,1
George Harrison,John Lennon,8
George Harrison,Neil Young,1
George Harrison,Paul McCartney,2
George Harrison,Paul Simon,2
George Harrison,Roy Orbison,1
George Harrison,The Band,2
George Harrison,The Beatles,81
George Harrison,The Byrds,4
George Harrison,Tom Petty,5
George Harrison,Traveling Wilburys,10
George Harrison,Yoko Ono,1
Traveling Wilburys,Bob Dylan,14
Traveling Wilburys,Dire Straits,1
Traveling Wilburys,George Harrison,20
Traveling Wilburys,Grateful Dead,1
Traveling Wilburys,Roy Orbison,11
Traveling Wilburys,The Beatles,5
Traveling Wilburys,Tom Petty,19
Traveling Wilburys,Tom Petty and the Heartbreakers,7
Prince (musician),Chuck Berry,1
Prince (musician),David Bowie,2
Prince (musician),Elvis Presley,1
Prince (musician),George Harrison,1
Prince (musician),Joni Mitchell,2
Prince (musician),Mick Jagger,1
Prince (musician),The Beatles,1
The Clancy Brothers,Bob Dylan,14
The Clancy Brothers,Elton John,2
The Clancy Brothers,Elvis Presley,1
The Clancy Brothers,Eric Clapton,1
The Clancy Brothers,George Harrison,1
The Clancy Brothers,Joan Baez,1
The Clancy Brothers,Odetta,6
The Clancy Brothers,"Peter, Paul and Mary",1
The Clancy Brothers,Woody Guthrie,1
Eric Clapton,Bob Dylan,3
Eric Clapton,David Bowie,1
Eric Clapton,Dire Straits,2
Eric Clapton,Elton John,6
Eric Clapton,George Harrison,13
Eric Clapton,John Lennon,3
Eric Clapton,Keith Richards,1
Eric Clapton,Manfred Mann,1
Eric Clapton,Muddy Waters,2
Eric Clapton,Paul McCartney,2
Eric Clapton,Stevie Ray Vaughan,2
Eric Clapton,The Band,7
Eric Clapton,The Beatles,9
Eric Clapton,The Hollies,1
Eric Clapton,Tom Petty,2
Eric Clapton,Tom Petty and the Heartbreakers,1
Eric Clapton,Willie Nelson,1
Tom Verlaine,Bob Dylan,3
Tom Verlaine,Patti Smith,3
Tom Verlaine,Sonic Youth,1
David Crosby,Bob Dylan,2
David Crosby,Elton John,1
David Crosby,Grateful Dead,3
David Crosby,Jerry Garcia,1
David Crosby,Joni Mitchell,2
David Crosby,Neil Young,4
David Crosby,The Byrds,24
David Crosby,The Hollies,2
The Band,Bob Dylan,25
The Band,Elton John,2
The Band,Eric Clapton,5
The Band,George Harrison,3
The Band,Grateful Dead,5
The Band,Jakob Dylan,1
The Band,Jerry Garcia,1
The Band,Joni Mitchell,1
The Band,Muddy Waters,1
The Band,Neil Young,1
The Band,The Byrds,3
The Band,The Wallflowers,1
The Band,Woody Guthrie,1
Patti Smith,Bob Dylan,3
Patti Smith,Bruce Springsteen,3
Patti Smith,Prince (musician),1
Patti Smith,Sonic Youth,1
Patti Smith,Tom Verlaine,3
Syd Barrett,Blur (band),1
Syd Barrett,Bob Dylan,4
Syd Barrett,David Bowie,2
Syd Barrett,Paul McCartney,1
Syd Barrett,The Beatles,3
Syd Barrett,The Byrds,2
Mason Jennings,Bob Dylan,1
Cat Power,Bob Dylan,2
Cat Power,David Bowie,1
Cat Power,Eddie Vedder,4
Cat Power,Sonic Youth,2
Cat Power,Yoko Ono,1
Julie Driscoll,Bob Dylan,1
Julie Driscoll,Manfred Mann,1
Robert Hunter (lyricist),Bob Dylan,4
