Source,Target,Weight
David McMillin,Bob Dylan,1
David McMillin,Johnny Cash,1
David McMillin,Ryan Adams,1
Randy California,Bob Dylan,1
Randy California,Jimi Hendrix,2
Randy California,Jimmy James and the Blue Flames,2
Randy California,Paul Simon,1
Randy California,The Animals,1
Connie Converse,Bob Dylan,1
Connie Converse,Karen O,1
Jacobites (band),Bob Dylan,1
Jacobites (band),Keith Richards,1
Jacobites (band),Mick Jagger,1
Jacobites (band),Nikki Sudden,3
Jacobites (band),The Rolling Stones,1
Joey Ramone,Bob Dylan,1
Joey Ramone,Bruce Springsteen,1
Joey Ramone,Keith Richards,1
Joey Ramone,Lou Reed,1
Joey Ramone,Mick Jagger,1
Joey Ramone,New York Dolls,2
Joey Ramone,Paul McCartney,1
Joey Ramone,The Beatles,3
Joey Ramone,The Who,3
Joey Ramone,U2,3
GTR (band),Bob Dylan,1
Manfred Mann,Bob Dylan,1
Manfred Mann,Cream (band),1
Manfred Mann,Manfred Mann's Earth Band,5
Manfred Mann,McGuinness Flint,2
Silvertide,Bob Dylan,2
Charlie Feathers,Bob Dylan,1
Charlie Feathers,Elvis Presley,1
Norah Jones,Bob Dylan,5
Norah Jones,Elvis Presley,2
Norah Jones,George Harrison,1
Norah Jones,Gram Parsons,2
Norah Jones,Hank Williams,2
Norah Jones,Jack White,4
Norah Jones,Jeff Tweedy,2
Norah Jones,Johnny Cash,1
Norah Jones,Keith Richards,2
Norah Jones,Lucinda Williams,1
Norah Jones,Ryan Adams,3
Norah Jones,The Rolling Stones,2
Norah Jones,Tom Waits,1
Norah Jones,Townes Van Zandt,1
Norah Jones,Willie Nelson,5
Right Said Fred,Bob Dylan,2
Right Said Fred,Bryan Adams,1
Right Said Fred,Madonna,2
Right Said Fred,Mick Jagger,2
Aubrie Sellers,Bob Dylan,1
Aubrie Sellers,Creedence Clearwater Revival,1
Aubrie Sellers,Neil Young,1
Colter Wall,Bob Dylan,1
Colter Wall,Gram Parsons,1
Colter Wall,Hank Williams,1
Colter Wall,Johnny Cash,1
Colter Wall,Lucinda Williams,1
Colter Wall,Townes Van Zandt,1
Colter Wall,Willie Nelson,1
Colter Wall,Woody Guthrie,1
Joe Pug,Billy Joe Shaver,1
Joe Pug,Bob Dylan,3
Joe Pug,Bruce Springsteen,1
Joe Pug,Jason Isbell,1
Joe Pug,Josh Ritter,5
Joe Pug,Lucinda Williams,1
Joe Pug,Ryan Adams,1
Joe Pug,Tom Waits,1
Joe Pug,Townes Van Zandt,1
Joe Pug,Warren Zevon,1
Joe Pug,Wilco,1
Johnny Ace,Bob Dylan,1
Johnny Ace,Elvis Presley,1
Johnny Ace,Hank Williams,1
Johnny Ace,Joan Baez,1
Johnny Ace,John Lennon,1
Johnny Ace,Johnny Mathis,1
Johnny Ace,Paul Simon,1
Patti Smith,Bob Dylan,3
Patti Smith,Bruce Springsteen,3
Patti Smith,Buddy Holly,2
Patti Smith,Courtney Love,1
Patti Smith,Hole (band),2
Patti Smith,Kurt Cobain,1
Patti Smith,Madonna,2
Patti Smith,Morrissey,1
Patti Smith,The Go-Betweens,1
Patti Smith,The Rolling Stones,1
Patti Smith,The Waterboys,1
Patti Smith,The White Stripes,1
Patti Smith,The Who,1
Patti Smith,Tom Verlaine,3
Patti Smith,U2,2
Paul Cresey,Bob Dylan,1
Paul Cresey,Jack Johnson (musician),1
Paul Cresey,Leonard Cohen,1
Paul Cresey,Neil Young,1
Asexuals (band),Bob Dylan,1
Asexuals (band),Minutemen (band),1
Unit 4 + 2,Bob Dylan,1
Unit 4 + 2,The Byrds,1
M.O.T.O.,Bob Dylan,1
M.O.T.O.,Judas Priest,1
M.O.T.O.,The Beatles,1
M.O.T.O.,The White Stripes,1
The Revols,Bob Dylan,1
The Revols,Great Speckled Bird (band),1
The Revols,Janis Joplin,3
The Revols,Richard Manuel,4
The Revols,The Band,7
The Revols,The Beatles,4
The Revols,The Rolling Stones,2
Sam Bailey,Bob Dylan,1
Sam Bailey,Right Said Fred,1
Sam Bailey,The Beatles,1
Logan English,Bob Dylan,4
Logan English,Joan Baez,2
Logan English,Woody Guthrie,6
Sarah Vaughan,Barry Manilow,1
Sarah Vaughan,Bob Dylan,1
Sarah Vaughan,John Lennon,2
"William ""Smitty"" Smith",Billy Joel,1
"William ""Smitty"" Smith",Bob Dylan,1
"William ""Smitty"" Smith",Linda Ronstadt,1
"William ""Smitty"" Smith",Robert Palmer (singer),1
Del Barber,Bob Dylan,1
Del Barber,Bruce Springsteen,1
Del Barber,Emmylou Harris,1
Del Barber,Gram Parsons,1
Del Barber,Lucinda Williams,1
Del Barber,Mississippi John Hurt,1
Del Barber,Neil Young,1
Del Barber,Ryan Adams,1
Del Barber,The Band,1
Del Barber,Townes Van Zandt,1
Del Barber,Wilco,1
Paul McCartney,Alice Cooper,1
Paul McCartney,Billy Joel,1
Paul McCartney,Bob Dylan,1
Paul McCartney,Buddy Holly,4
Paul McCartney,Carl Perkins,1
Paul McCartney,Chuck Berry,2
Paul McCartney,Elvis Presley,3
Paul McCartney,Eric Clapton,2
Paul McCartney,George Harrison,5
Paul McCartney,Grateful Dead,3
Paul McCartney,Jimi Hendrix,2
Paul McCartney,John Lennon,10
Paul McCartney,Kanye West,3
Paul McCartney,Keith Richards,1
Paul McCartney,Linda McCartney,8
Paul McCartney,Paul Simon,2
Paul McCartney,Ringo Starr,5
Paul McCartney,Stevie Wonder,4
Paul McCartney,Sting (musician),1
Paul McCartney,The Beatles,123
Paul McCartney,U2,2
A Genuine Freakshow,Bob Dylan,1
A Genuine Freakshow,Radiohead,2
A Genuine Freakshow,The Beatles,1
A Genuine Freakshow,Tom Waits,1
Eric Clapton,Bob Dylan,3
Eric Clapton,Buddy Holly,2
Eric Clapton,Cher,4
Eric Clapton,Cream (band),22
Eric Clapton,Dire Straits,2
Eric Clapton,Frank Zappa,1
Eric Clapton,George Harrison,13
Eric Clapton,Jimi Hendrix,3
