Source,Target,Weight
The Jesus and Mary Chain,Blur (band),1
The Jesus and Mary Chain,Dinosaur Jr.,1
The Jesus and Mary Chain,My Bloody Valentine (band),1
The Jesus and Mary Chain,Sonic Youth,1
The Jesus and Mary Chain,The Stooges,2
Nirvana (band),Black Sabbath,2
Nirvana (band),Sonic Youth,3
The Cure,My Bloody Valentine (band),1
Black Sabbath,Motörhead,3
Black Sabbath,Nirvana (band),2
Black Sabbath,The Rolling Stones,1
Jefferson Airplane,Grateful Dead,4
Jefferson Airplane,Quicksilver Messenger Service,3
Jefferson Airplane,The Beach Boys,1
Jefferson Airplane,The Rolling Stones,1
Deep Wound,Dinosaur Jr.,5
Deep Wound,Sebadoh,3
Deep Wound,Sonic Youth,1
Blur (band),Nirvana (band),1
Gumball (band),Dinosaur Jr.,2
Gumball (band),Nirvana (band),1
Gumball (band),Sonic Youth,2
Quicksilver Messenger Service,Grateful Dead,1
Quicksilver Messenger Service,Jefferson Airplane,4
Quicksilver Messenger Service,The Dinosaurs,1
Quicksilver Messenger Service,The Rolling Stones,2
Sonic Youth,Neil Young,2
Sonic Youth,The Stooges,1
The Beach Boys,Grateful Dead,1
The Beach Boys,My Bloody Valentine (band),1
The Beach Boys,Sebadoh,1
The Beach Boys,The Rolling Stones,3
The Birthday Party (band),My Bloody Valentine (band),1
The Birthday Party (band),Nick Cave,10
The Replacements (band),The Rolling Stones,1
Grateful Dead,The Beach Boys,1
Grateful Dead,The Rolling Stones,2
Cher,Jefferson Airplane,1
Cher,The Rolling Stones,1
Sebadoh,Dinosaur Jr.,5
Country Joe and the Fish,Jefferson Airplane,2
Country Joe and the Fish,Quicksilver Messenger Service,1
Country Joe and the Fish,The Dinosaurs,1
Neil Young,Crazy Horse (band),43
Neil Young,Nick Cave,1
Neil Young,Nirvana (band),2
Neil Young,Sonic Youth,5
The Stooges,Sonic Youth,1
The Stooges,The Birthday Party (band),2
The Rolling Stones,Mick Jagger,21
Crazy Horse (band),Neil Young,36
Dinosaur Jr.,Black Sabbath,3
Dinosaur Jr.,Blur (band),1
Dinosaur Jr.,Cher,2
Dinosaur Jr.,Country Joe and the Fish,1
Dinosaur Jr.,Crazy Horse (band),1
Dinosaur Jr.,Deep Wound,5
Dinosaur Jr.,Grateful Dead,1
Dinosaur Jr.,Gumball (band),1
Dinosaur Jr.,J Mascis + The Fog,1
Dinosaur Jr.,Jefferson Airplane,1
Dinosaur Jr.,John Fogerty,1
Dinosaur Jr.,Mick Jagger,1
Dinosaur Jr.,Motörhead,1
Dinosaur Jr.,My Bloody Valentine (band),1
Dinosaur Jr.,Neil Young,3
Dinosaur Jr.,Nick Cave,1
Dinosaur Jr.,Nirvana (band),2
Dinosaur Jr.,Quicksilver Messenger Service,1
Dinosaur Jr.,Sebadoh,8
Dinosaur Jr.,Sonic Youth,4
Dinosaur Jr.,The Beach Boys,1
Dinosaur Jr.,The Birthday Party (band),1
Dinosaur Jr.,The Cure,1
Dinosaur Jr.,The Dinosaurs,1
Dinosaur Jr.,The Jesus and Mary Chain,1
Dinosaur Jr.,The Replacements (band),1
Dinosaur Jr.,The Rolling Stones,1
Dinosaur Jr.,The Stooges,1
Dinosaur Jr.,Witch (band),1
Mick Jagger,The Rolling Stones,54
The Dinosaurs,Country Joe and the Fish,2
The Dinosaurs,Dinosaur Jr.,1
The Dinosaurs,Grateful Dead,2
The Dinosaurs,Jefferson Airplane,3
The Dinosaurs,Quicksilver Messenger Service,1
Motörhead,Black Sabbath,3
Motörhead,Cher,1
My Bloody Valentine (band),Dinosaur Jr.,2
My Bloody Valentine (band),Sonic Youth,1
My Bloody Valentine (band),The Beach Boys,1
My Bloody Valentine (band),The Birthday Party (band),1
My Bloody Valentine (band),The Jesus and Mary Chain,1
Nick Cave,Neil Young,3
Nick Cave,The Birthday Party (band),15
Witch (band),Black Sabbath,1
Witch (band),Dinosaur Jr.,2
J Mascis + The Fog,Dinosaur Jr.,5
J Mascis + The Fog,The Stooges,2
J Mascis + The Fog,Witch (band),1
