Source,Target,Weight
Bat for Lashes,Coldplay,1
Bat for Lashes,Kate Bush,2
Bat for Lashes,The Cure,2
Bat for Lashes,Tori Amos,1
Pat Benatar,Kate Bush,1
Sex Pistols,Devo,7
Sex Pistols,Elvis Presley,1
Sex Pistols,John Lydon,7
Sex Pistols,Pink Floyd,3
Sex Pistols,Roxy Music,1
Sex Pistols,The Beatles,3
Sex Pistols,The Mo,2
Sex Pistols,The Who,3
The Spotnicks,The Beatles,1
Madonna,David Bowie,1
Madonna,Elvis Presley,2
Madonna,Janet Jackson,1
Madonna,Prince (musician),1
Madonna,The Beatles,5
Paula Cole,Janet Jackson,1
Paula Cole,Kate Bush,2
Sky Ferreira,Hole (band),1
Sky Ferreira,Kate Bush,1
Sky Ferreira,Madonna,1
Sky Ferreira,Prince (musician),1
Coldplay,Adele,2
Coldplay,Kate Bush,1
Ellie Goulding,Dolly Parton,1
Ellie Goulding,Elton John,2
Ellie Goulding,Kate Bush,1
Ellie Goulding,Kate Nash,1
Ellie Goulding,Little Boots,2
Lynsey de Paul,Carole King,1
Lynsey de Paul,David Bowie,1
Lynsey de Paul,Dolly Parton,1
Lynsey de Paul,Elton John,1
Lynsey de Paul,The Go,3
Lynsey de Paul,Tori Amos,1
The Beatles,Clou,2
The Beatles,Elton John,1
The Beatles,Elvis Presley,3
The Beatles,Eric Clapton,2
The Beatles,The Who,1
Dolly Parton,Elvis Presley,1
Dolly Parton,The Go,6
Big Country,Kate Bush,1
Adele,Carole King,1
Adele,David Bowie,1
Adele,Elton John,1
Adele,Grimes (musician),1
Adele,Kate Nash,1
Adele,Madonna,4
Adele,Stevie Nicks,1
Adele,The Beatles,2
Adele,The Cure,1
Chris Braide,The Mo,4
Kate Bush,Adele,1
Kate Bush,Alison Gold,1
Kate Bush,Alison Goldfrapp,1
Kate Bush,Antony and the Johnsons,1
Kate Bush,Bat for Lashes,1
Kate Bush,Big Boi,1
Kate Bush,Big Country,2
Kate Bush,Bloc Party,1
Kate Bush,Carole King,1
Kate Bush,Charli XCX,1
Kate Bush,Chris Braide,1
Kate Bush,Clou,2
Kate Bush,Cocteau Twins,1
Kate Bush,Coldplay,1
Kate Bush,Courtney Love,1
Kate Bush,Darren Hayes,1
Kate Bush,David Bowie,1
Kate Bush,David Gilmour,6
Kate Bush,Del Palmer,4
Kate Bush,Devo,1
Kate Bush,Dido (singer),1
Kate Bush,Dolly Parton,1
Kate Bush,Ellie Goulding,1
Kate Bush,Elton John,6
Kate Bush,Elvis Presley,1
Kate Bush,Erasure,2
Kate Bush,Eric Clapton,1
Kate Bush,Florence Welch,1
Kate Bush,Georgia (musician),1
Kate Bush,Goldfrapp,2
Kate Bush,Grimes (musician),1
Kate Bush,Hole (band),1
Kate Bush,Janet Jackson,1
Kate Bush,John Lydon,1
Kate Bush,Kate Nash,1
Kate Bush,Laurie Anderson,1
Kate Bush,Little Boots,1
Kate Bush,Lynsey de Paul,1
Kate Bush,Madonna,4
Kate Bush,Marillion,1
Kate Bush,Nerina Pallot,1
Kate Bush,No-Man,1
Kate Bush,Pat Benatar,1
Kate Bush,Paula Cole,1
Kate Bush,Pink Floyd,3
Kate Bush,Placebo (band),1
Kate Bush,Prince (musician),4
Kate Bush,Prix,1
Kate Bush,Robert Smith (musician),1
Kate Bush,Rolf Harris,2
Kate Bush,Roxy Music,1
Kate Bush,Rufus Wainwright,1
Kate Bush,Sex Pistols,1
Kate Bush,Sky Ferreira,1
Kate Bush,Solange Knowles,1
Kate Bush,Stevie Nicks,1
Kate Bush,Suede (band),1
Kate Bush,Syd Arthur,1
Kate Bush,Tegan and Sara,1
Kate Bush,The Beatles,2
Kate Bush,The Cure,1
Kate Bush,The Go,2
Kate Bush,The Mo,6
Kate Bush,The Spotnicks,1
Kate Bush,The Who,3
Kate Bush,Tori Amos,1
Little Boots,Pink Floyd,2
Rufus Wainwright,Antony and the Johnsons,2
Rufus Wainwright,Erasure,2
Rufus Wainwright,Laurie Anderson,1
Rufus Wainwright,Roxy Music,2
Rufus Wainwright,The Go,1
Rufus Wainwright,Tori Amos,2
David Gilmour,David Bowie,2
David Gilmour,Elton John,1
David Gilmour,Elvis Presley,1
David Gilmour,Eric Clapton,2
David Gilmour,Kate Bush,7
David Gilmour,Marillion,1
David Gilmour,Pink Floyd,59
David Gilmour,The Beatles,1
David Gilmour,The Who,2
Eric Clapton,Clou,4
Eric Clapton,David Bowie,1
Eric Clapton,Elton John,6
Eric Clapton,Pink Floyd,4
Eric Clapton,The Beatles,9
Eric Clapton,The Who,3
Del Palmer,Kate Bush,6
Del Palmer,Pink Floyd,1
The Who,David Bowie,1
The Who,Elton John,6
The Who,Eric Clapton,2
The Who,John Lydon,1
The Who,Pink Floyd,2
The Who,The Beatles,3
Kate Nash,Hole (band),1
Kate Nash,Suede (band),1
Kate Nash,The Beatles,1
Hole (band),Courtney Love,12
Hole (band),Madonna,3
Hole (band),Sky Ferreira,1
Hole (band),Tegan and Sara,1
Janet Jackson,Elton John,3
Janet Jackson,Elvis Presley,1
Janet Jackson,Eric Clapton,1
Janet Jackson,Madonna,9
Janet Jackson,Prince (musician),3
Janet Jackson,The Beatles,1
Pink Floyd,David Bowie,1
Pink Floyd,David Gilmour,9
Pink Floyd,Marillion,1
Pink Floyd,The Beatles,2
Pink Floyd,The Who,1
Elton John,Elvis Presley,1
Elton John,Eric Clapton,5
Elton John,Janet Jackson,1
Elton John,Kate Bush,1
Elton John,Madonna,1
Elton John,The Beatles,3
Elton John,The Who,2
Dido (singer),Rufus Wainwright,1
Grimes (musician),Cocteau Twins,1
Grimes (musician),David Bowie,1
Grimes (musician),Devo,1
Grimes (musician),Kate Bush,1
David Bowie,David Gilmour,1
David Bowie,Elvis Presley,3
David Bowie,Eric Clapton,1
David Bowie,Madonna,1
David Bowie,Placebo (band),1
David Bowie,Robert Smith (musician),1
David Bowie,The Beatles,2
David Bowie,The Cure,1
David Bowie,The Mo,2
David Bowie,The Who,1
Tori Amos,Kate Bush,1
Tori Amos,Madonna,2
Rolf Harris,Elvis Presley,1
Rolf Harris,Kate Bush,1
Rolf Harris,The Beatles,3
Rolf Harris,The Mo,1
Antony and the Johnsons,Laurie Anderson,1
Antony and the Johnsons,Rufus Wainwright,1
Cocteau Twins,Kate Bush,1
Cocteau Twins,Sex Pistols,1
Cocteau Twins,The Mo,1
John Lydon,Pink Floyd,1
John Lydon,Sex Pistols,37
John Lydon,The Beatles,1
Carole King,Eric Clapton,1
Carole King,The Beatles,1
Carole King,The Mo,5
No-Man,Kate Bush,1
The Cure,David Bowie,2
The Cure,Placebo (band),1
The Cure,Robert Smith (musician),16
The Cure,The Beatles,2
Nerina Pallot,Kate Bush,1
Courtney Love,Hole (band),45
Courtney Love,Kate Bush,1
Courtney Love,Sky Ferreira,1
Stevie Nicks,Courtney Love,2
Stevie Nicks,Florence Welch,1
Stevie Nicks,Hole (band),1
Goldfrapp,Alison Gold,17
Goldfrapp,Alison Goldfrapp,17
Goldfrapp,Kate Bush,1
Goldfrapp,Prince (musician),1
Marillion,Coldplay,2
Marillion,David Bowie,1
Marillion,David Gilmour,1
Marillion,Pink Floyd,3
