Source,Target,Weight
Oasis (band),Bob Dylan,1
Oasis (band),David Bowie,1
Oasis (band),Neil Young,2
Oasis (band),Nirvana (band),1
Oasis (band),The Who,2
"Crosby, Stills, Nash & Young",Bob Dylan,2
"Crosby, Stills, Nash & Young",Buffalo Springfield,17
"Crosby, Stills, Nash & Young",Crazy Horse (band),4
"Crosby, Stills, Nash & Young",David Crosby,13
"Crosby, Stills, Nash & Young",James Taylor,1
"Crosby, Stills, Nash & Young",Joni Mitchell,5
"Crosby, Stills, Nash & Young",Neil Young,23
"Crosby, Stills, Nash & Young",Rick Danko,1
"Crosby, Stills, Nash & Young",Rick James,1
"Crosby, Stills, Nash & Young",The Band,1
"Crosby, Stills, Nash & Young",The Who,1
Elvis Presley,Bob Dylan,1
Elvis Presley,Chet Atkins,1
Elvis Presley,Chuck Berry,1
Elvis Presley,Fats Domino,2
Elvis Presley,Jerry Lee Lewis,2
Elvis Presley,John Lennon,1
Elvis Presley,Johnny Cash,2
Elvis Presley,Nas,25
Elvis Presley,Paul McCartney,1
Elvis Presley,Roy Orbison,1
Nas,Dave Matthews,1
Astrid Young,David Bowie,1
Astrid Young,Neil Young,12
Foo Fighters,Kurt Cobain,4
Foo Fighters,Nirvana (band),13
Foo Fighters,Paul McCartney,1
Foo Fighters,Pearl Jam,1
Foo Fighters,Tom Petty,2
Foo Fighters,Tom Petty and the Heartbreakers,1
Spoon (band),Pixies (band),2
Spoon (band),Tom Petty,3
R.E.M.,Eddie Vedder,2
R.E.M.,John Lennon,2
R.E.M.,Kurt Cobain,1
R.E.M.,Nirvana (band),3
R.E.M.,Paul McCartney,1
R.E.M.,Pearl Jam,2
R.E.M.,Radiohead,1
R.E.M.,Sonic Youth,1
Lynyrd Skynyrd,Drive-By Truckers,1
Lynyrd Skynyrd,Hank Williams,1
Lynyrd Skynyrd,Nas,1
Lynyrd Skynyrd,Neil Young,1
Lynyrd Skynyrd,Powderfinger,2
Lynyrd Skynyrd,Ronnie Van Zant,8
Lynyrd Skynyrd,The Who,1
Willie Nelson,Bob Dylan,2
Willie Nelson,Chet Atkins,1
Willie Nelson,David Bowie,1
Willie Nelson,Elton John,1
Willie Nelson,Elvis Presley,1
Willie Nelson,Emmylou Harris,2
Willie Nelson,Hank Williams,1
Willie Nelson,Johnny Cash,8
Willie Nelson,Lukas Nelson & Promise of the Real,2
Willie Nelson,Nas,11
Willie Nelson,Neil Young,4
Willie Nelson,Phish,1
Willie Nelson,Roy Orbison,2
Soundgarden,Foo Fighters,1
Soundgarden,Kurt Cobain,2
Soundgarden,Metallica,3
Soundgarden,Nine Inch Nails,1
Soundgarden,Nirvana (band),5
Soundgarden,Pearl Jam,14
Soundgarden,Red Hot Chili Peppers,1
Soundgarden,The Smashing Pumpkins,2
Lukas Nelson & Promise of the Real,Neil Young,16
Lukas Nelson & Promise of the Real,Pearl Jam,1
Lukas Nelson & Promise of the Real,Soundgarden,1
Lukas Nelson & Promise of the Real,The Mo,7
Lukas Nelson & Promise of the Real,Willie Nelson,11
Devo,David Bowie,2
Devo,Foo Fighters,1
Devo,Neil Young,2
Devo,Nine Inch Nails,1
Devo,Soundgarden,1
David Crosby,Bob Dylan,2
David Crosby,Buffalo Springfield,4
David Crosby,"Crosby, Stills, Nash & Young",10
David Crosby,Elton John,1
David Crosby,James Taylor,1
David Crosby,Joni Mitchell,2
David Crosby,Neil Young,4
David Crosby,The Mo,2
David Crosby,The Monkees,1
Blind Melon,John Lennon,1
Blind Melon,Neil Young,1
Blind Melon,Pearl Jam,2
Blind Melon,Soundgarden,1
Barenaked Ladies,Bob Dylan,1
Barenaked Ladies,Dave Matthews,3
Barenaked Ladies,John Lennon,1
Barenaked Ladies,Michael Jackson,2
Barenaked Ladies,Paul McCartney,1
Barenaked Ladies,Phish,2
Barenaked Ladies,The Mo,1
Hank Marvin,Buddy Holly,1
Hank Marvin,Neil Young,1
Hank Marvin,Randy Bachman,1
Nicolette Larson,Astrid Young,1
Nicolette Larson,Emmylou Harris,4
Nicolette Larson,Linda Ronstadt,3
Nicolette Larson,Nas,5
Nicolette Larson,Neil Young,10
Vic Chesnutt,Nas,1
Vic Chesnutt,R.E.M.,2
Vic Chesnutt,Soul Asylum,1
Vic Chesnutt,The Smashing Pumpkins,1
Social Distortion,Bob Dylan,2
Social Distortion,Bruce Springsteen,1
Social Distortion,Foo Fighters,1
Social Distortion,Hank Williams,1
Social Distortion,Johnny Cash,5
Social Distortion,Pearl Jam,1
Metallica,Elton John,1
Metallica,Red Hot Chili Peppers,1
Metallica,The Mo,1
Paul McCartney,Bob Dylan,1
Paul McCartney,Buddy Holly,4
Paul McCartney,Chrissie Hynde,1
Paul McCartney,Chuck Berry,2
Paul McCartney,David Bowie,2
Paul McCartney,Devo,1
Paul McCartney,Elton John,1
Paul McCartney,Elvis Presley,3
Paul McCartney,Fats Domino,1
Paul McCartney,Foo Fighters,1
Paul McCartney,John Lennon,10
Paul McCartney,Michael Jackson,4
Paul McCartney,Nirvana (band),1
Paul McCartney,Norther,7
Paul McCartney,The Mo,3
Bruce Springsteen,Bob Dylan,3
Bruce Springsteen,Dave Matthews,1
Bruce Springsteen,Eddie Vedder,1
Bruce Springsteen,Elvis Presley,2
Bruce Springsteen,Nas,1
Bruce Springsteen,Pearl Jam,1
Bruce Springsteen,R.E.M.,1
The Ventures,Chet Atkins,2
The Ventures,Norther,1
The Ventures,The Who,1
The Stills,Paul McCartney,1
Buffalo Springfield,Crazy Horse (band),1
Buffalo Springfield,"Crosby, Stills, Nash & Young",6
Buffalo Springfield,David Crosby,3
Buffalo Springfield,Neil Young,13
Buffalo Springfield,Rick James,1
Buffalo Springfield,The Mo,2
Buffalo Springfield,The Monkees,2
Buffalo Springfield,The Mynah Birds,3
Buffalo Springfield,The Squires,1
Buddy Holly,Bob Dylan,3
Buddy Holly,Bruce Springsteen,1
Buddy Holly,Elton John,2
Buddy Holly,Elvis Presley,3
Buddy Holly,Hank Williams,1
Buddy Holly,Jerry Lee Lewis,1
Buddy Holly,John Lennon,2
Buddy Holly,Nas,7
Buddy Holly,Paul McCartney,2
Emmylou Harris,Bob Dylan,5
Emmylou Harris,Chuck Berry,1
Emmylou Harris,Elvis Presley,2
Emmylou Harris,Johnny Cash,3
Emmylou Harris,Joni Mitchell,1
Emmylou Harris,Linda Ronstadt,21
Emmylou Harris,Nas,9
Emmylou Harris,Neil Young,8
Emmylou Harris,Nick Cave,1
Emmylou Harris,Roy Orbison,2
Emmylou Harris,The Band,2
Emmylou Harris,Willie Nelson,7
Nick Cave,Bob Dylan,2
Nick Cave,David Bowie,1
Nick Cave,Hank Williams,1
Nick Cave,Johnny Cash,6
Nick Cave,Metallica,1
Nick Cave,Neil Young,3
The Monkees,John Lennon,3
The Monkees,Neil Young,3
The Monkees,Paul McCartney,3
The Monkees,Sug,4
The Monkees,The Mo,277
The Monkees,The Who,2
The Squires,Buffalo Springfield,1
The Squires,Crazy Horse (band),1
The Squires,Neil Young,6
The Squires,Sug,2
The Squires,The Ventures,1
Hank Williams,Bob Dylan,2
Hank Williams,Chuck Berry,1
Hank Williams,Elvis Presley,2
Hank Williams,Jack White,2
Hank Williams,Jerry Lee Lewis,2
Hank Williams,Johnny Cash,2
Everest (band),Foo Fighters,1
Everest (band),Neil Young,3
Rick James,Buffalo Springfield,1
Rick James,"Crosby, Stills, Nash & Young",1
Rick James,David Bowie,1
Rick James,Joni Mitchell,1
Rick James,Michael Jackson,1
Rick James,Neil Young,4
Rick James,The Mynah Birds,4
Tegan and Sara,Bruce Springsteen,1
Tegan and Sara,David Bowie,1
Tegan and Sara,Elton John,1
Tegan and Sara,Neil Young,2
Tegan and Sara,Nirvana (band),1
Tegan and Sara,R.E.M.,1
Tegan and Sara,The Smashing Pumpkins,1
Tegan and Sara,Tom Petty,1
Phish,Blues Traveler,1
Phish,Bob Dylan,1
Phish,Bruce Springsteen,2
Phish,Elton John,1
Phish,Nas,2
Phish,Radiohead,2
Phish,Red Hot Chili Peppers,1
Phish,Sug,2
Phish,The Who,1
Blues Traveler,Dave Matthews,1
Blues Traveler,Fats Domino,1
Blues Traveler,John Lennon,3
Blues Traveler,Phish,1
Chuck Berry,Bob Dylan,1
Chuck Berry,Bruce Springsteen,2
Chuck Berry,Buddy Holly,2
Chuck Berry,David Bowie,1
Chuck Berry,Elvis Presley,1
Chuck Berry,John Lennon,1
Chuck Berry,Linda Ronstadt,1
Randy Bachman,Chet Atkins,1
Randy Bachman,Elvis Presley,1
Randy Bachman,Hank Marvin,1
Randy Bachman,Neil Young,1
Randy Bachman,The Guess Who,22
Tom Petty,Bob Dylan,3
Tom Petty,Chuck Berry,1
Tom Petty,Elvis Presley,1
Tom Petty,Johnny Cash,3
Tom Petty,Pearl Jam,1
Tom Petty,Red Hot Chili Peppers,1
Tom Petty,Roy Orbison,3
Tom Petty,Tom Petty and the Heartbreakers,29
Mike McCready,Eddie Vedder,5
Mike McCready,Hank Williams,1
Mike McCready,Neil Young,7
Mike McCready,Pearl Jam,45
Mike McCready,Red Hot Chili Peppers,1
Mike McCready,Social Distortion,1
Mike McCready,Soundgarden,4
Nine Inch Nails,David Bowie,4
Nine Inch Nails,Devo,1
Nine Inch Nails,Elton John,1
Nine Inch Nails,Foo Fighters,1
Nine Inch Nails,Johnny Cash,1
Nine Inch Nails,Soundgarden,1
Nine Inch Nails,Trent Reznor,13
The Mynah Birds,Buffalo Springfield,4
The Mynah Birds,Neil Young,8
The Mynah Birds,Rick James,6
The Mynah Birds,The Band,1
Tom Petty and the Heartbreakers,Bob Dylan,5
Tom Petty and the Heartbreakers,Bruce Springsteen,2
Tom Petty and the Heartbreakers,Fats Domino,2
Tom Petty and the Heartbreakers,Foo Fighters,1
Tom Petty and the Heartbreakers,Johnny Cash,3
Tom Petty and the Heartbreakers,Neil Young,2
Tom Petty and the Heartbreakers,Nirvana (band),1
Tom Petty and the Heartbreakers,Pearl Jam,1
Tom Petty and the Heartbreakers,Roy Orbison,1
Tom Petty and the Heartbreakers,Tom Petty,55
Bob Dylan,Bruce Springsteen,4
Bob Dylan,Chuck Berry,1
Bob Dylan,David Bowie,2
Bob Dylan,David Crosby,1
Bob Dylan,Eddie Vedder,1
Bob Dylan,Elton John,1
Bob Dylan,Elvis Presley,2
Bob Dylan,Hank Williams,2
Bob Dylan,John Lennon,5
Bob Dylan,Johnny Cash,7
Bob Dylan,Joni Mitchell,4
Bob Dylan,Kenny Buttrey,1
Bob Dylan,Nas,14
Bob Dylan,Neil Young,2
Bob Dylan,Nick Cave,1
Bob Dylan,Paul McCartney,1
Bob Dylan,Roy Orbison,1
Bob Dylan,Sonic Youth,1
Bob Dylan,The Band,21
Bob Dylan,Tom Petty,4
Bob Dylan,Tom Petty and the Heartbreakers,2
Bob Dylan,Tom Waits,1
Bob Dylan,Willie Nelson,2
The Chant,Sonic Youth,1
The Chant,The Mo,1
The Chant,The Monkees,1
The Who,Bob Dylan,2
The Who,Bruce Springsteen,1
The Who,Buddy Holly,1
The Who,David Bowie,1
The Who,Eddie Vedder,2
The Who,Elton John,6
The Who,John Lennon,1
The Who,Nas,1
The Who,Neil Young,2
The Who,Oasis (band),2
The Who,Paul McCartney,2
The Who,The Band,1
The Who,The Ventures,1
Red Hot Chili Peppers,Devo,1
Red Hot Chili Peppers,Elvis Presley,1
Red Hot Chili Peppers,Kurt Cobain,2
Red Hot Chili Peppers,Metallica,1
Red Hot Chili Peppers,Neil Young,1
Red Hot Chili Peppers,Nirvana (band),1
Red Hot Chili Peppers,Pearl Jam,2
Red Hot Chili Peppers,Thom Yorke,1
The Guess Who,Randy Bachman,9
Drive-By Truckers,Lynyrd Skynyrd,3
Drive-By Truckers,Neil Young,2
Drive-By Truckers,Tom Petty,2
David Blue (musician),Bob Dylan,1
David Blue (musician),Neil Young,1
Constantines,Bruce Springsteen,1
Constantines,Feist (singer),1
Constantines,Neil Young,3
Constantines,Nick Cave,1
Constantines,The Mo,2
Johnny Cash,Bob Dylan,5
Johnny Cash,Elvis Presley,3
Johnny Cash,Hank Williams,1
Johnny Cash,James Taylor,1
Johnny Cash,Jerry Lee Lewis,4
Johnny Cash,Joni Mitchell,1
Johnny Cash,Linda Ronstadt,1
Johnny Cash,Nas,15
Johnny Cash,Neil Young,1
Johnny Cash,Nine Inch Nails,4
Johnny Cash,Nirvana (band),1
Johnny Cash,Paul McCartney,1
Johnny Cash,Roy Orbison,3
