Source,Target,Weight
Spirit (band),Led Zeppelin,3
Spirit (band),Neil Young,2
Spirit (band),The Who,2
Dan Wilde,Bob Dylan,1
Dan Wilde,Neil Young,1
Dan Wilde,Tom Waits,1
Brothers of the Baladi,Buffalo Springfield,1
Brothers of the Baladi,Neil Young,1
Gov't Mule,Dave Matthews,2
Gov't Mule,Dave Matthews Band,2
Gov't Mule,Jason Isbell,2
Gov't Mule,Led Zeppelin,1
Gov't Mule,Neil Young,1
Gov't Mule,Red Hot Chili Peppers,1
Gov't Mule,The Who,2
Louise Post,Dave Grohl,2
Louise Post,Hole (band),1
Louise Post,Neil Young,3
Louise Post,PJ Harvey,1
Louise Post,Veruca Salt,21
E Street Band,Bob Dylan,3
E Street Band,Emmylou Harris,1
E Street Band,Neil Young,1
E Street Band,Tom Petty and the Heartbreakers,1
Juliana Hatfield,Dinosaur Jr.,1
Juliana Hatfield,Gram Parsons,2
Juliana Hatfield,Led Zeppelin,1
Juliana Hatfield,Neil Young,2
Juliana Hatfield,Sarah McLachlan,1
Juliana Hatfield,The Who,1
Tom Petty and the Heartbreakers,Bob Dylan,5
Tom Petty and the Heartbreakers,Dave Grohl,1
Tom Petty and the Heartbreakers,Fats Domino,2
Tom Petty and the Heartbreakers,Gene Clark,1
Tom Petty and the Heartbreakers,George Harrison,3
Tom Petty and the Heartbreakers,Johnny Cash,3
Tom Petty and the Heartbreakers,Neil Young,2
Tom Petty and the Heartbreakers,Pearl Jam,1
Tom Petty and the Heartbreakers,The Byrds,1
Tom Petty and the Heartbreakers,The Wallflowers,1
Tom Petty and the Heartbreakers,Warren Zevon,1
Witness (UK band),Neil Young,1
Witness (UK band),Oasis (band),1
Witness (UK band),The Byrds,1
Chrissie Hynde,Devo,3
Chrissie Hynde,Emmylou Harris,1
Chrissie Hynde,Gram Parsons,2
Chrissie Hynde,Neil Young,3
Chrissie Hynde,Nick Cave,3
Grace Potter and the Nocturnals,Bob Dylan,2
Grace Potter and the Nocturnals,Dave Matthews,1
Grace Potter and the Nocturnals,Dave Matthews Band,1
Grace Potter and the Nocturnals,Gov't Mule,7
Grace Potter and the Nocturnals,Neil Young,1
Grace Potter and the Nocturnals,The Band,2
Jubilee (band),Bob Dylan,1
Jubilee (band),Neil Young,1
Ignacio Peña,Neil Young,1
Ignacio Peña,Oasis (band),2
The Monkees,George Harrison,1
The Monkees,Guns N' Roses,1
The Monkees,John Sebastian,1
The Monkees,Neil Young,3
The Monkees,The Byrds,2
The Monkees,The Who,2
Everything Everything,Neil Young,1
Everything Everything,PJ Harvey,1
Oasis (band),Bob Dylan,1
Oasis (band),Joy Division,1
Oasis (band),Led Zeppelin,1
Oasis (band),MC5,1
Oasis (band),Maroon 5,1
Oasis (band),Neil Young,2
Oasis (band),The Smiths,2
Oasis (band),The Who,2
Milton Mapes,Bob Dylan,1
Milton Mapes,Crazy Horse (band),1
Milton Mapes,Neil Young,1
Milton Mapes,Robert Plant,1
Milton Mapes,Willie Nelson,1
Drive-By Truckers,Jason Isbell,11
Drive-By Truckers,Lynyrd Skynyrd,3
Drive-By Truckers,Neil Young,2
Jason Isbell,Bob Dylan,1
Jason Isbell,David Crosby,1
Jason Isbell,Drive-By Truckers,21
Jason Isbell,Neil Young,1
Jason Isbell,Son Volt,1
Tim Hart (Australian musician),Bob Dylan,1
Tim Hart (Australian musician),Neil Young,1
Pixies (band),George Harrison,1
Pixies (band),Kurt Cobain,1
Pixies (band),Neil Young,1
Pixies (band),PJ Harvey,1
Pixies (band),Robert Plant,2
Pixies (band),The Everly Brothers,1
Pixies (band),Thom Yorke,1
Pixies (band),Warren Zevon,3
Judge (band),Led Zeppelin,1
Judge (band),Neil Young,1
Sawyer Fredericks,Buffalo Springfield,5
Sawyer Fredericks,Lynyrd Skynyrd,5
Sawyer Fredericks,Neil Young,2
The Olympic Symphonium,Neil Young,1
Les Charbonniers de l'enfer,Neil Young,1
Django Walker,Bob Dylan,1
Django Walker,Neil Young,1
Django Walker,Townes Van Zandt,1
Django Walker,Willie Nelson,1
No Doubt,Neil Young,1
No Doubt,Red Hot Chili Peppers,1
No Doubt,Willie Nelson,1
Zavalaz,Neil Young,1
Zavalaz,Red Hot Chili Peppers,1
Joy Division,Neil Young,1
Corey Hart (singer),Bryan Adams,1
Corey Hart (singer),Guns N' Roses,1
Corey Hart (singer),Joni Mitchell,1
Corey Hart (singer),Neil Young,1
Corey Hart (singer),The Who,1
Rusty (band),Art Bergmann,1
Rusty (band),Neil Young,2
The Bad Plus,Neil Young,1
The Bad Plus,Pixies (band),1
Vast Countenance,Bob Dylan,1
Vast Countenance,"Crosby, Stills, Nash & Young",1
Vast Countenance,Neil Young,1
Blind Melon,Guns N' Roses,2
Blind Melon,Led Zeppelin,2
Blind Melon,Neil Young,1
Blind Melon,Pearl Jam,2
Climax (band),Neil Young,1
The Orange Humble Band,Neil Young,1
Uncle Tupelo,Dinosaur Jr.,3
Uncle Tupelo,Gram Parsons,5
Uncle Tupelo,Jeff Tweedy,7
