Source,Target,Weight
Florence and the Machine,Florence Welch,9
Florence and the Machine,PJ Harvey,1
Florence and the Machine,Siouxsie Sioux,4
Chris Walla,PJ Harvey,1
Alex Winston,Florence and the Machine,1
Alex Winston,PJ Harvey,1
Kids Near Water,PJ Harvey,1
Louise Post,Nina Gordon,3
Louise Post,PJ Harvey,1
Doctors of Madness,Nick Cave,1
Doctors of Madness,PJ Harvey,1
Savages (band),Jehnny Beth,3
Savages (band),PJ Harvey,1
Savages (band),Siouxsie and the Banshees,1
Bell X1 (band),PJ Harvey,1
Eels (band),PJ Harvey,1
Karima Francis,PJ Harvey,1
Calma Carmona,PJ Harvey,1
Lovehammers,PJ Harvey,1
Lovehammers,Pixies (band),1
Nadéah,Bat for Lashes,1
Nadéah,Nick Cave,1
Nadéah,PJ Harvey,1
Nadéah,Phoebe Killdeer,1
The Hampdens,Nick Cave,1
The Hampdens,PJ Harvey,1
Katy Steele,PJ Harvey,1
Jehnny Beth,PJ Harvey,1
Jehnny Beth,Savages (band),3
Sikth,PJ Harvey,1
Goldfrapp,Nick Cave,1
Goldfrapp,Nick Cave and the Bad Seeds,1
Goldfrapp,PJ Harvey,1
Goldfrapp,Siouxsie Sioux,1
Goldfrapp,T. Rex (band),1
Sparklehorse,PJ Harvey,2
Sparklehorse,Thom Yorke,2
Th' Faith Healers,PJ Harvey,1
Th' Faith Healers,Stereolab,1
Placebo (band),Captain Beefheart,1
Placebo (band),PJ Harvey,1
Placebo (band),Pixies (band),1
Placebo (band),Siouxsie and the Banshees,1
Placebo (band),T. Rex (band),1
Vitamin String Quartet,Jeff Buckley,1
Vitamin String Quartet,PJ Harvey,1
Vitamin String Quartet,Pixies (band),1
Vitamin String Quartet,Queens of the Stone Age,2
Fluffy (band),Courtney Love,1
Fluffy (band),PJ Harvey,1
Rachael Cantu,PJ Harvey,1
Howling Bells,Nick Cave,1
Howling Bells,PJ Harvey,3
Howling Bells,Placebo (band),1
Howling Bells,Siouxsie Sioux,1
Howling Bells,Siouxsie and the Banshees,1
Captain Beefheart,PJ Harvey,2
Captain Beefheart,Pixies (band),1
Captain Beefheart,Placebo (band),1
Captain Beefheart,Siouxsie and the Banshees,1
Scout Niblett,Courtney Love,2
Scout Niblett,PJ Harvey,1
Aimee Osbourne,PJ Harvey,1
Smoke Fairies,PJ Harvey,2
Courtney Love,Big Black,2
Courtney Love,Brody Dalle,1
Courtney Love,Louise Post,1
Courtney Love,Marianne Faithfull,1
Courtney Love,PJ Harvey,1
Courtney Love,Scout Niblett,1
Courtney Love,Siouxsie and the Banshees,1
Ali Harter,PJ Harvey,1
Florence Welch,Florence and the Machine,21
Florence Welch,PJ Harvey,1
Florence Welch,Siouxsie Sioux,1
Ruby Throat,PJ Harvey,1
Ruby Throat,Queenadreena,4
Forget Cassettes,PJ Harvey,2
PJ Harvey,Black Lab,1
PJ Harvey,Captain Beefheart,2
PJ Harvey,Josh Homme,1
PJ Harvey,Marianne Faithfull,2
PJ Harvey,Nick Cave,6
PJ Harvey,Nick Cave and the Bad Seeds,3
PJ Harvey,Pixies (band),1
PJ Harvey,Siouxsie Sioux,1
PJ Harvey,Sparklehorse,2
PJ Harvey,The Desert Sessions,1
PJ Harvey,Thom Yorke,2
Greg Laswell,PJ Harvey,1
Greg Laswell,Sparklehorse,1
Thom Yorke,PJ Harvey,3
Thom Yorke,Pixies (band),2
Thom Yorke,Siouxsie Sioux,1
Thom Yorke,Siouxsie and the Banshees,1
Thom Yorke,Sparklehorse,1
Adia Victoria,PJ Harvey,1
Kurt Reifler,Jeff Buckley,1
Kurt Reifler,PJ Harvey,1
Gregory and the Hawk,PJ Harvey,1
She Keeps Bees,PJ Harvey,2
Brody Dalle,Courtney Love,2
Brody Dalle,Josh Homme,2
Brody Dalle,PJ Harvey,1
