Source,Target,Weight
The Almost,Aaron Gillespie,9
The Almost,All Time Low,2
The Almost,Faith No More,1
The Almost,Jimmy Eat World,1
The Almost,Paramore,4
Blink-182,All Time Low,4
Blink-182,Ange,8
Blink-182,Angels & Airwaves,1
Blink-182,Fall Out Boy,3
Blink-182,Green Day,1
Blink-182,Jimmy Eat World,1
Blink-182,Panic! at the Disco,1
Blink-182,Paramore,1
Blink-182,Radiohead,1
Blink-182,The Cure,1
Blink-182,U2,1
Blink-182,You Me at Six,1
MewithoutYou,Sunny Day Real Estate,1
Faith No More,Ange,15
Faith No More,Siouxsie and the Banshees,4
Faith No More,The Cure,1
Hit the Lights,All Time Low,1
Hit the Lights,New Found Glory,1
The Smiths,Siouxsie Sioux,1
The Smiths,Siouxsie and the Banshees,2
Radiohead,Green Day,1
Radiohead,Siouxsie and the Banshees,2
Radiohead,The Smiths,1
Radiohead,U2,1
This Providence,All Time Low,1
This Providence,Cute Is What We Aim For,1
This Providence,Paramore,1
This Providence,The Swellers,1
Kelly Clarkson,Elvis Presley,1
Kelly Clarkson,Etta James,2
Kelly Clarkson,Janelle Monáe,1
Kelly Clarkson,No Doubt,1
Kelly Clarkson,Radiohead,2
Novel American,Hayley Williams,1
Novel American,Jimmy Eat World,1
Novel American,Josh Farro,7
Novel American,Paramore,7
Novel American,Radiohead,1
Leonard Cohen,Ange,10
Leonard Cohen,U2,2
No Doubt,Bedouin Soundclash,1
No Doubt,Blink-182,2
No Doubt,Janelle Monáe,1
No Doubt,Panic! at the Disco,1
No Doubt,Paramore,1
No Doubt,The Sounds,1
Placebo (band),Nine Inch Nails,1
Placebo (band),Panic! at the Disco,1
Placebo (band),Siouxsie and the Banshees,1
Placebo (band),Taking Back Sunday,1
Placebo (band),The Cure,6
Placebo (band),The Smiths,2
Placebo (band),U2,1
The Rocket Summer,All Time Low,1
The Rocket Summer,Paramore,2
The Sounds,All Time Low,3
The Sounds,Ange,1
The Sounds,Angels & Airwaves,1
The Sounds,Blondie (band),2
The Sounds,Foo Fighters,1
The Sounds,No Doubt,2
The Sounds,Panic! at the Disco,2
The Shirelles,Etta James,1
Bedouin Soundclash,Green Day,1
Bedouin Soundclash,No Doubt,1
Bedouin Soundclash,Paramore,1
Siouxsie and the Banshees,Faith No More,1
Siouxsie and the Banshees,Radiohead,3
Siouxsie and the Banshees,Siouxsie Sioux,6
Siouxsie and the Banshees,The Cure,6
Siouxsie and the Banshees,The Smiths,4
Siouxsie and the Banshees,U2,1
Aaron Gillespie,Fall Out Boy,1
Aaron Gillespie,Paramore,12
Aaron Gillespie,Say Anything (band),1
Aaron Gillespie,The Almost,11
Jimmy Eat World,Foo Fighters,1
Jimmy Eat World,Green Day,2
Jimmy Eat World,Nine Inch Nails,1
Jimmy Eat World,Radiohead,1
Jimmy Eat World,Sunny Day Real Estate,1
Jimmy Eat World,Taking Back Sunday,1
Paper Route (band),Copeland (band),1
Paper Route (band),Destiny's Child,2
Paper Route (band),Paramore,3
Paper Route (band),The Rocket Summer,1
Amy Winehouse,Green Day,1
Amy Winehouse,Janelle Monáe,1
Amy Winehouse,Kelly Clarkson,1
Amy Winehouse,U2,1
Paramore,Aaliyah,1
Paramore,Aaron Gillespie,1
Paramore,All Time Low,1
Paramore,Amber Pacific,1
Paramore,Amy Winehouse,1
Paramore,Ange,4
Paramore,Angels & Airwaves,1
Paramore,Bayside (band),1
Paramore,Bedouin Soundclash,1
Paramore,Blink-182,1
Paramore,Blondie (band),1
Paramore,Breaking Benjamin,1
Paramore,Chad Gilbert,1
Paramore,Copeland (band),1
Paramore,Creed (band),1
Paramore,Cute Is What We Aim For,1
Paramore,Death Cab for Cutie,1
Paramore,Debbie Harry,1
Paramore,Destiny's Child,1
Paramore,Elvis Presley,1
Paramore,Etta James,1
Paramore,Failure (band),1
Paramore,Faith No More,1
Paramore,Fall Out Boy,1
Paramore,Foo Fighters,1
Paramore,Green Day,2
Paramore,Hanson (band),1
Paramore,Hayley Williams,28
Paramore,Hit the Lights,2
Paramore,Janelle Monáe,1
Paramore,Jawbreaker (band),1
Paramore,Jeff Hanson,1
Paramore,Jimmy Eat World,4
