Source,Target,Weight
Buddy Miles Express,Atomic Rooster,1
Buddy Miles Express,Linda Lewis,1
Buddy Miles Express,Pink Floyd,2
Joni Mitchell,Bryan Adams,2
Joni Mitchell,David Gilmour,1
Joni Mitchell,Harry Styles,1
Joni Mitchell,Marillion,3
Joni Mitchell,Pink Floyd,1
Joni Mitchell,The Band,2
Joni Mitchell,Tool (band),1
At the Drive-In,Pink Floyd,2
At the Drive-In,The Mars Volta,7
Porcupine Tree,Also Eden,1
Porcupine Tree,Between the Buried and Me,1
Porcupine Tree,Blackfield,2
Porcupine Tree,Can (band),1
Porcupine Tree,Dream Theater,1
Porcupine Tree,Gojira (band),1
Porcupine Tree,King Crimson,3
Porcupine Tree,Kingfisher Sky,1
Porcupine Tree,Leprous,1
Porcupine Tree,Marillion,1
Porcupine Tree,Neurosis (band),1
Porcupine Tree,Nine Inch Nails,1
Porcupine Tree,Nosound,1
Porcupine Tree,Pink Floyd,6
Porcupine Tree,Radiohead,1
Porcupine Tree,Riverside (band),1
Porcupine Tree,Rush (band),1
Porcupine Tree,Tangerine Dream,1
Porcupine Tree,Trent Reznor,1
Scott Weiland,Billy Corgan,2
Scott Weiland,Eddie Vedder,1
Scott Weiland,Guns N' Roses,6
Scott Weiland,Kurt Cobain,2
Scott Weiland,Layne Staley,2
Scott Weiland,Life of Agony,1
Scott Weiland,Linkin Park,2
Scott Weiland,Pink Floyd,4
Scott Weiland,Sex Pistols,2
Scott Weiland,Staind,1
Scott Weiland,Stone Temple Pilots,36
Scott Weiland,Tool (band),1
Scott Weiland,Velvet Revolver,35
The Blockheads,Ian Dury,24
The Blockheads,Nick Cave,1
The Blockheads,Pink Floyd,1
Van der Graaf Generator,Atomic Rooster,1
Van der Graaf Generator,Can (band),6
Van der Graaf Generator,Genesis (band),4
Van der Graaf Generator,Gentle Giant,1
Van der Graaf Generator,John Lydon,1
Van der Graaf Generator,King Crimson,4
Van der Graaf Generator,Marillion,3
Van der Graaf Generator,Pink Floyd,1
Van der Graaf Generator,Rush (band),1
Van der Graaf Generator,String Driven Thing,1
Van der Graaf Generator,Yes (band),1
Gun (1960s band),Pink Floyd,1
Gun (1960s band),Tomorrow (band),1
Gun (1960s band),Yes (band),1
Therion (band),Iron Maiden,2
Therion (band),Pink Floyd,1
Colts Drum and Bugle Corps,Brian Johnson,1
Colts Drum and Bugle Corps,David Gilmour,3
Colts Drum and Bugle Corps,Joni Mitchell,1
Colts Drum and Bugle Corps,Pink Floyd,1
Colts Drum and Bugle Corps,Radiohead,1
Colts Drum and Bugle Corps,Thom Yorke,1
Joana Marte,Pink Floyd,1
Joana Marte,Radiohead,1
Oasis (band),Pink Floyd,1
Oasis (band),Sex Pistols,1
Oasis (band),Spacehog,1
Oasis (band),The Damned (band),1
Oasis (band),The La's,2
Oasis (band),The Who,2
Revolting Puppets,Pink Floyd,1
Marmalade (band),Pink Floyd,1
Marmalade (band),The Who,1
Marmalade (band),Yes (band),1
Blackfield,Anathema (band),1
Blackfield,Genesis (band),1
Blackfield,King Crimson,1
Blackfield,Pink Floyd,1
Blackfield,Porcupine Tree,13
Blackfield,Radiohead,1
Bombay Bicycle Club,David Gilmour,1
Bombay Bicycle Club,Pink Floyd,3
Sherwood (band),Pink Floyd,1
Jupiter Apple,Engenheiros do Hawaii,1
Jupiter Apple,Pink Floyd,1
Jupiter Apple,Syd Barrett,1
Sparks (band),Def Leppard,1
Sparks (band),Duran Duran,1
