Source,Target,Weight
Sonic Youth,Butthole Surfers,1
Sonic Youth,Led Zeppelin,1
Sonic Youth,Patti Smith,1
Sonic Youth,Pavement (band),3
Sonic Youth,Pearl Jam,1
Sonic Youth,The Velvet Underground,1
T. Rex (band),Michael Stipe,1
T. Rex (band),Mott the Hoople,1
T. Rex (band),R.E.M.,3
T. Rex (band),The Beatles,1
T. Rex (band),The Smiths,3
Ministry (band),Butthole Surfers,1
Ministry (band),Pearl Jam,1
Ministry (band),Pigface,1
The B-52's,John Lennon,1
The B-52's,Kate Pierson,6
The B-52's,Michael Stipe,1
The B-52's,R.E.M.,3
The B-52's,The Beatles,1
Kurt Cobain,Alice in Chains,1
Kurt Cobain,Butthole Surfers,2
Kurt Cobain,John Lennon,1
Kurt Cobain,Led Zeppelin,6
Kurt Cobain,Michael Stipe,1
Kurt Cobain,Nirvana (band),54
Kurt Cobain,Pearl Jam,1
Kurt Cobain,R.E.M.,5
Kurt Cobain,Screaming Trees,2
Kurt Cobain,Sonic Youth,3
Kurt Cobain,The Beatles,4
Kurt Cobain,The Velvet Underground,1
Minutemen (band),R.E.M.,2
Minutemen (band),Sonic Youth,4
Local H,Eddie Vedder,3
Local H,R.E.M.,1
Led Zeppelin,Beck,7
Led Zeppelin,Mott the Hoople,2
Led Zeppelin,Nirvana (band),2
Led Zeppelin,Pearl Jam,1
Led Zeppelin,The Beatles,4
Led Zeppelin,Yes (band),1
Pigface,Butthole Surfers,1
Pigface,Ministry (band),5
Pigface,R.E.M.,2
U2,Led Zeppelin,2
U2,Patti Smith,2
U2,Peter Ho,1
U2,Television (band),1
U2,The Beatles,2
R.E.M.,"10,000 Maniacs",1
R.E.M.,Alice in Chains,1
R.E.M.,Beck,1
R.E.M.,Big Star,1
R.E.M.,Butthole Surfers,1
R.E.M.,Coldplay,1
R.E.M.,Collective Soul,1
R.E.M.,Eddie Vedder,2
R.E.M.,Fairport Convention,1
R.E.M.,Hindu Love Gods (band),1
R.E.M.,John Lennon,2
R.E.M.,Kate Pierson,1
R.E.M.,Ken Stringfellow,4
R.E.M.,Kurt Cobain,1
R.E.M.,Led Zeppelin,1
R.E.M.,Live (band),6
R.E.M.,Local H,1
R.E.M.,Michael Stipe,16
R.E.M.,Mike Mills,14
R.E.M.,Ministry (band),1
R.E.M.,Minutemen (band),2
R.E.M.,Mott the Hoople,1
R.E.M.,Nick Drake,1
R.E.M.,Nirvana (band),3
R.E.M.,Patti Smith,1
R.E.M.,Paul McCartney,1
R.E.M.,Pavement (band),4
R.E.M.,Pearl Jam,2
R.E.M.,Peter Ho,2
R.E.M.,Pigface,1
R.E.M.,Pwr Bttm,1
R.E.M.,Radiohead,1
R.E.M.,Screaming Trees,1
R.E.M.,Sonic Youth,1
R.E.M.,Stone Temple Pilots,1
R.E.M.,T. Rex (band),1
R.E.M.,Television (band),1
R.E.M.,The B-52's,2
R.E.M.,The Beatles,1
R.E.M.,The Byrds,1
R.E.M.,The Minus 5,1
R.E.M.,The Posies,1
R.E.M.,The Replacements (band),1
R.E.M.,The Smiths,2
R.E.M.,The Soft Boys,1
R.E.M.,The Velvet Underground,1
R.E.M.,Tuatara (band),1
R.E.M.,U2,2
R.E.M.,Yes (band),1
Coldplay,Paul McCartney,1
Coldplay,Pearl Jam,1
Coldplay,R.E.M.,2
Coldplay,Radiohead,1
Coldplay,U2,4
Mott the Hoople,R.E.M.,1
Alice in Chains,Led Zeppelin,4
Alice in Chains,Nirvana (band),2
Alice in Chains,Pearl Jam,3
Alice in Chains,Screaming Trees,1
Alice in Chains,Television (band),1
Alice in Chains,The Beatles,1
Alice in Chains,The Velvet Underground,1
Alice in Chains,U2,1
Nirvana (band),Alice in Chains,1
Nirvana (band),Beck,2
Nirvana (band),Kurt Cobain,12
Nirvana (band),Led Zeppelin,1
Nirvana (band),Paul McCartney,1
Nirvana (band),R.E.M.,1
Nirvana (band),Sonic Youth,3
Radiohead,Coldplay,2
Radiohead,Michael Stipe,1
Radiohead,Nirvana (band),1
Radiohead,R.E.M.,5
Radiohead,Sonic Youth,1
Radiohead,The Beatles,4
Radiohead,The Smiths,1
Radiohead,U2,1
Yes (band),Led Zeppelin,3
Yes (band),T. Rex (band),1
Yes (band),The Beatles,3
Yes (band),The Byrds,1
The Minus 5,John Lennon,3
The Minus 5,Ken Stringfellow,2
The Minus 5,Michael Stipe,1
The Minus 5,Mike Mills,4
The Minus 5,Paul McCartney,2
The Minus 5,Pearl Jam,2
The Minus 5,R.E.M.,31
The Minus 5,Screaming Trees,1
The Minus 5,The Byrds,1
The Minus 5,The Posies,5
The Minus 5,Tuatara (band),6
Nick Drake,Beck,1
Nick Drake,Fairport Convention,6
Nick Drake,R.E.M.,2
The Byrds,Big Star,1
The Byrds,Patti Smith,2
The Byrds,R.E.M.,1
The Byrds,The Beatles,13
