Source,Target,Weight
Mudhoney,Green River (band),4
Mudhoney,Nirvana (band),1
Mudhoney,Sonic Youth,1
Fugazi,...And You Will Know Us by the Trail of Dead,1
Fugazi,Ben Lee,1
Fugazi,Black Flag (band),1
Fugazi,Bloc Party,1
Fugazi,Brand New (band),1
Fugazi,Drive Like Jehu,1
Fugazi,Eddie Vedder,1
Fugazi,Kurt Cobain,1
Fugazi,Minutemen (band),1
Fugazi,Nirvana (band),2
Fugazi,Sleater-Kinney,1
Fugazi,Sonic Youth,1
Fugazi,The Ex (band),2
Fugazi,The Stooges,1
Fugazi,Unwound,1
Kermit (band),Mogwai,1
Kermit (band),Radiohead,2
Kermit (band),Sonic Youth,1
Hole (band),Big Black,1
Hole (band),Bob Dylan,1
Hole (band),Courtney Love,12
Hole (band),Gumball (band),1
Hole (band),Kim Gordon,2
Hole (band),Kurt Cobain,2
Hole (band),Mudhoney,1
Hole (band),My Bloody Valentine (band),2
Hole (band),Neil Young,1
Hole (band),Nirvana (band),1
Hole (band),Scout Niblett,1
Hole (band),Sky Ferreira,1
Hole (band),Sonic Youth,8
Hole (band),Yoko Ono,3
Chavez (band),Guided by Voices,2
Chavez (band),Pavement (band),1
Chavez (band),Sonic Youth,1
Pavement (band),Beck,1
Pavement (band),R.E.M.,1
Pavement (band),Radiohead,1
Pavement (band),Sonic Youth,2
Pavement (band),The Fall (band),3
The Coachmen (New York band),Kim Gordon,2
The Coachmen (New York band),Sonic Youth,2
Trumans Water,Captain Beefheart,1
Trumans Water,Pavement (band),1
Trumans Water,Sonic Youth,1
Trumans Water,Soul-Junk,2
Trumans Water,The Cribs,1
Trumans Water,Wire (band),1
Mistle Thrush (band),Black Rebel Motorcycle Club,1
Mistle Thrush (band),Sonic Youth,1
Siouxsie and the Banshees,Bloc Party,1
Siouxsie and the Banshees,Can (band),1
Siouxsie and the Banshees,Courtney Love,1
Siouxsie and the Banshees,Joni Mitchell,1
Siouxsie and the Banshees,My Bloody Valentine (band),1
Siouxsie and the Banshees,Radiohead,3
Siouxsie and the Banshees,Siouxsie Sioux,6
Siouxsie and the Banshees,Sonic Youth,1
Siouxsie and the Banshees,Sparks (band),1
Siouxsie and the Banshees,The Jesus and Mary Chain,1
Siouxsie and the Banshees,The Slits,1
Siouxsie and the Banshees,Wire (band),1
Bullet Union,Drive Like Jehu,1
Bullet Union,Sonic Youth,1
Bullet Union,Unwound,1
The Birthday Suit,Sonic Youth,1
Chinas Comidas,Black Flag (band),1
Chinas Comidas,Patti Smith,2
Chinas Comidas,Redd Kross,1
Chinas Comidas,Sonic Youth,1
Everclear (band),Dave Grohl,1
Everclear (band),Nirvana (band),3
Everclear (band),Public Enemy,2
Everclear (band),Sonic Youth,1
Él Mató a un Policía Motorizado,Sonic Youth,1
Chelsea Light Moving,Sonic Youth,1
King Snake Roost,Babes in Toyland (band),1
King Snake Roost,Big Black,2
King Snake Roost,Mudhoney,3
King Snake Roost,Sonic Youth,1
OOIOO,Boredoms,2
OOIOO,Julia Cafritz,1
OOIOO,Sonic Youth,1
Yuck (band),Dinosaur Jr.,1
Yuck (band),My Bloody Valentine (band),1
Yuck (band),Pavement (band),1
Yuck (band),Sonic Youth,1
Mogwai,Fugazi,1
Mogwai,My Bloody Valentine (band),3
Mogwai,Public Enemy,2
Mogwai,Sonic Youth,1
Mogwai,The Jesus and Mary Chain,1
