Source,Target,Weight
Paul McCartney,Billy Preston,1
Paul McCartney,Bob Dylan,1
Paul McCartney,Buddy Holly,4
Paul McCartney,Carl Perkins,1
Paul McCartney,Chuck Berry,2
Paul McCartney,Dick James,2
Paul McCartney,Elton John,1
Paul McCartney,Elvis Presley,3
Paul McCartney,Eric Clapton,2
Paul McCartney,George Harrison,5
Paul McCartney,John Lennon,10
Paul McCartney,Lennon–McCartney,4
Paul McCartney,Linda McCartney,8
Paul McCartney,Michael Jackson,4
Paul McCartney,Norther,7
Paul McCartney,Paul McCartney and Wings,4
Paul McCartney,Ringo Starr,5
Paul McCartney,The Beatles,123
Paul McCartney,The Crickets,1
Paul McCartney,The Everly Brothers,1
Paul McCartney,The Quarrymen,7
Paul McCartney,Yello,6
Paul McCartney,Yoko Ono,3
The Beach Boys,Bob Dylan,3
The Beach Boys,Chuck Berry,5
The Beach Boys,Frank Zappa,1
The Beach Boys,Paul McCartney,1
The Beach Boys,Roy Orbison,1
The Beach Boys,The Beatles,23
The Beach Boys,The Byrds,1
The Beach Boys,The Everly Brothers,1
The Beach Boys,The Kinks,1
The Beach Boys,The Lovin' Spoonful,1
The Beach Boys,The Rolling Stones,3
The Beach Boys,The Who,2
John Lennon,Bob Dylan,1
John Lennon,Elton John,4
John Lennon,Elvis Presley,1
John Lennon,Eric Clapton,1
John Lennon,George Harrison,5
John Lennon,I Me,1
John Lennon,Lennon–McCartney,5
John Lennon,Norther,3
John Lennon,Paul McCartney,6
John Lennon,Plastic Ono Band,10
John Lennon,Ringo Starr,3
John Lennon,The Beatles,78
John Lennon,The Quarrymen,8
John Lennon,The Rolling Stones,3
John Lennon,Yello,2
John Lennon,Yoko Ono,18
Peter Frampton,Bee Gees,3
Peter Frampton,Billy Preston,1
Peter Frampton,Buddy Holly,2
Peter Frampton,Eddie Cochran,1
Peter Frampton,Ringo Starr,4
Peter Frampton,The Beatles,4
Peter Frampton,The Rolling Stones,1
Peter Frampton,The Who,1
Chuck Berry,Bob Dylan,1
Chuck Berry,Buddy Holly,2
Chuck Berry,Carl Perkins,2
Chuck Berry,Elvis Presley,1
Chuck Berry,Eric Clapton,1
Chuck Berry,John Lennon,1
Chuck Berry,The Beach Boys,2
Chuck Berry,The Beatles,3
Chuck Berry,The Kinks,1
Chuck Berry,The Rolling Stones,4
Rory Storm,Chuck Berry,1
Rory Storm,Elvis Presley,1
Rory Storm,George Harrison,3
Rory Storm,John Lennon,2
Rory Storm,Paul McCartney,4
Rory Storm,Ringo Starr,7
Rory Storm,The Beatles,14
Rory Storm,The Everly Brothers,2
Rory Storm,The Quarrymen,2
The Animals,Bob Dylan,1
The Animals,Chuck Berry,1
The Animals,Sam Cooke,1
The Animals,The Dave Clark Five,1
The Everly Brothers,Buddy Holly,1
The Everly Brothers,Elvis Presley,1
The Everly Brothers,John Lennon,1
The Everly Brothers,Paul McCartney,2
The Everly Brothers,The Beach Boys,2
The Everly Brothers,The Beatles,3
The Everly Brothers,The Crickets,1
The Quarrymen,Buddy Holly,4
The Quarrymen,Carl Perkins,1
The Quarrymen,Elvis Presley,1
The Quarrymen,George Harrison,6
The Quarrymen,John Lennon,7
The Quarrymen,Lennon–McCartney,1
The Quarrymen,Paul McCartney,6
The Quarrymen,Ringo Starr,1
The Quarrymen,Rory Storm,1
The Quarrymen,The Beatles,16
The Quarrymen,The Crickets,1
The Crickets,Buddy Holly,21
The Crickets,Eric Clapton,3
The Crickets,The Beatles,2
Bee Gees,Chuck Berry,1
Bee Gees,Elvis Presley,2
Bee Gees,Eric Clapton,2
Bee Gees,John Lennon,2
Bee Gees,Michael Jackson,2
Bee Gees,Paul McCartney,2
Bee Gees,Peter Frampton,1
Bee Gees,Roy Orbison,1
Bee Gees,The Beach Boys,2
Bee Gees,The Beatles,13
Bee Gees,The Everly Brothers,1
Bee Gees,The Rolling Stones,2
Carl Perkins,Bob Dylan,1
Carl Perkins,Chuck Berry,2
Carl Perkins,Elvis Presley,6
Carl Perkins,Eric Clapton,2
Carl Perkins,George Harrison,3
Carl Perkins,John Lennon,1
Carl Perkins,Paul McCartney,4
Carl Perkins,Ringo Starr,4
Carl Perkins,Roy Orbison,4
Carl Perkins,The Animals,1
Carl Perkins,The Beatles,7
Dick James,Elton John,2
Dick James,George Harrison,1
Dick James,John Lennon,1
Dick James,Norther,6
Dick James,Paul McCartney,1
Dick James,Ringo Starr,1
Dick James,The Beatles,5
Elvis Presley,Bob Dylan,1
Elvis Presley,Carl Perkins,4
Elvis Presley,Chuck Berry,1
Elvis Presley,John Lennon,1
Elvis Presley,Paul McCartney,1
Elvis Presley,Roy Orbison,1
Elvis Presley,The Beatles,11
The Beatles,Bee Gees,1
The Beatles,Billy Preston,5
The Beatles,Bob Dylan,3
The Beatles,Buddy Holly,3
The Beatles,Carl Perkins,1
The Beatles,Chuck Berry,1
The Beatles,Clou,2
The Beatles,Dick James,1
The Beatles,Eddie Cochran,1
The Beatles,Elton John,1
