Source,Target,Weight
U2,Bruce Springsteen,2
U2,Buzzcocks,1
U2,David Bowie,1
U2,Elvis Presley,1
U2,Green Day,3
U2,Paul Simon,1
U2,Ramones,1
U2,Sex Pistols,1
U2,Siouxsie and the Banshees,1
U2,The Clash,2
U2,The Who,3
311 (band),Bad Brains,1
311 (band),The Clash,1
Mott the Hoople,David Bowie,4
Mott the Hoople,The Go,1
The Specials,General Public,3
The Specials,Joe Strummer,1
The Specials,Stiff Little Fingers,1
The Specials,The Clash,3
The Specials,The Go,1
The Specials,The Libertines,2
The Specials,The Stranglers,1
David Bowie,Dave Grohl,1
David Bowie,Elvis Presley,3
David Bowie,Mott the Hoople,1
David Bowie,The Who,1
David Bowie,U2,2
The 101ers,Joe Strummer,9
The 101ers,Public Image Ltd,2
The 101ers,Sex Pistols,2
The 101ers,The Clash,7
The 101ers,The Pogues,1
Arctic Monkeys,The Strokes,2
Jakob Dylan,Buzzcocks,1
Jakob Dylan,The Clash,2
Jakob Dylan,The Wallflowers,50
Jakob Dylan,The Who,3
Rancid (band),Bad Religion,1
Rancid (band),Dropkick Murphys,1
Rancid (band),Green Day,1
Rancid (band),NOFX,3
Rancid (band),Rise Against,1
Rancid (band),The Clash,1
Ramones,Bad Brains,1
Ramones,Bad Religion,2
Ramones,Dave Grohl,1
Ramones,Green Day,3
Ramones,Paul Simon,1
Ramones,Rancid (band),2
Ramones,Sex Pistols,2
Ramones,The Clash,3
Ramones,The Damned (band),1
Ramones,The Strokes,1
Ramones,The Who,1
Ramones,U2,1
Bad Religion,Green Day,2
Bad Religion,NOFX,3
Bad Religion,Ramones,1
Bad Religion,Rancid (band),2
Bad Religion,Rise Against,2
Bad Religion,Sex Pistols,1
Bad Religion,Stiff Little Fingers,1
Bad Religion,The Clash,1
Die Toten Hosen,Bad Religion,1
Die Toten Hosen,Green Day,1
Die Toten Hosen,Ramones,1
Die Toten Hosen,Sex Pistols,2
Die Toten Hosen,U2,2
The Go,The White Stripes,2
Anti-Flag,David Bowie,1
Anti-Flag,NOFX,1
Anti-Flag,Rise Against,1
Anti-Flag,The Clash,1
The Wallflowers,David Bowie,3
The Wallflowers,Jakob Dylan,14
The Wallflowers,The Who,1
Chuck D,Public Enemy,17
Chuck D,The Go,3
No Doubt,311 (band),1
No Doubt,Sublime (band),1
No Doubt,The Clash,2
Big Audio Dynamite,Carbon/Silicon,2
Big Audio Dynamite,General Public,3
Big Audio Dynamite,Gorillaz,1
Big Audio Dynamite,Joe Strummer,2
Big Audio Dynamite,London SS,1
Big Audio Dynamite,Public Image Ltd,1
Big Audio Dynamite,The Clash,17
Big Audio Dynamite,U2,2
Bruce Springsteen,Dave Grohl,1
Bruce Springsteen,Dropkick Murphys,1
Bruce Springsteen,Elvis Presley,2
Bruce Springsteen,Joe Strummer,1
Bruce Springsteen,No Doubt,1
Bruce Springsteen,The Clash,1
Bruce Springsteen,U2,5
Carbon/Silicon,Big Audio Dynamite,3
Carbon/Silicon,London SS,1
Carbon/Silicon,The Clash,4
Green Day,Bad Religion,2
Green Day,Buzzcocks,3
Green Day,John Lydon,1
Green Day,NOFX,1
Green Day,Ramones,5
Green Day,Rancid (band),3
Green Day,Sex Pistols,3
Green Day,Sublime (band),2
Green Day,The Clash,3
Green Day,The White Stripes,1
Green Day,The Who,3
Green Day,U2,2
Rise Against,Anti-Flag,2
Rise Against,Bad Brains,1
Rise Against,Bad Religion,2
Rise Against,NOFX,1
Rise Against,Ramones,1
Rise Against,Rancid (band),1
Rise Against,The Go,2
Babyshambles,Joe Strummer,1
Babyshambles,The Clash,3
Babyshambles,The Libertines,8
The Stranglers,The Go,5
NOFX,Bad Religion,8
NOFX,Green Day,2
NOFX,Ramones,1
NOFX,Rancid (band),6
NOFX,Sex Pistols,1
The Libertines,Babyshambles,9
The Libertines,Buzzcocks,1
The Libertines,Sex Pistols,3
The Libertines,The Clash,7
The Libertines,The Pogues,1
The Libertines,The Strokes,2
The Libertines,The Vines (band),1
The Pogues,Dropkick Murphys,2
The Pogues,Joe Strummer,7
The Pogues,Ramones,1
The Teardrop Explodes,Big in Japan (band),2
The Teardrop Explodes,Siouxsie and the Banshees,1
The Teardrop Explodes,The Specials,1
The Vines (band),The Hives,1
The Vines (band),The Strokes,2
The Vines (band),The White Stripes,1
The Who,Bruce Springsteen,1
The Who,David Bowie,1
The Who,Green Day,1
The Who,John Lydon,1
The Who,Ramones,1
The Who,The Clash,2
The Who,U2,1
"The Good, the Bad & the Queen",Gorillaz,2
"The Good, the Bad & the Queen",Joe Strummer,1
"The Good, the Bad & the Queen",Paul Simon,4
"The Good, the Bad & the Queen",The Clash,2
"The Good, the Bad & the Queen",The Go,16
Public Enemy,Chuck D,34
Public Enemy,Manic Street Preachers,1
John Lydon,Public Image Ltd,21
John Lydon,Sex Pistols,37
John Lydon,Siouxsie and the Banshees,1
John Lydon,The Clash,1
John Lydon,The Slits,1
The Damned (band),David Bowie,1
The Damned (band),Joe Strummer,1
The Damned (band),London SS,2
