Source,Target,Weight
Wiz Khalifa,The Cure,1
The Hush Now,The Cure,1
Scala & Kolacny Brothers,David Bowie,3
Scala & Kolacny Brothers,Depeche Mode,9
Scala & Kolacny Brothers,Indochine (band),1
Scala & Kolacny Brothers,Kate Bush,1
Scala & Kolacny Brothers,Masquer,2
Scala & Kolacny Brothers,Nine Inch Nails,2
Scala & Kolacny Brothers,Placebo (band),1
Scala & Kolacny Brothers,Red Hot Chili Peppers,1
Scala & Kolacny Brothers,The Cure,3
The xx,Joy Division,1
The xx,Siouxsie and the Banshees,1
The xx,The Big Pink,1
The xx,The Cure,1
Ivy (band),The Cure,2
A Pale Horse Named Death,The Cure,1
The Farm (British band),Johnny Hates Jazz,1
The Farm (British band),The Cure,1
Kenna,Depeche Mode,1
Kenna,The Cure,1
Neuroticfish,Depeche Mode,1
Neuroticfish,Nine Inch Nails,1
Neuroticfish,Skinny Puppy,1
Neuroticfish,The Cure,1
The Passions (British band),David Bowie,1
The Passions (British band),The Cure,1
Hayley Williams,Gwen Stefani,1
Hayley Williams,Paramore,33
Hayley Williams,Siouxsie Sioux,1
Hayley Williams,The Cure,1
Thirty Seconds to Mars,Chevelle (band),2
Thirty Seconds to Mars,Head Automatica,1
Thirty Seconds to Mars,Jared Leto,15
Thirty Seconds to Mars,The Cure,1
Thirty Seconds to Mars,The Smashing Pumpkins,1
Thirty Seconds to Mars,Vitamin String Quartet,1
Robert Smith (musician),65daysofstatic,2
Robert Smith (musician),Bauhaus (band),1
Robert Smith (musician),Billy Corgan,2
Robert Smith (musician),Blank & Jones,4
Robert Smith (musician),Blink-182,8
Robert Smith (musician),Cranes (band),5
Robert Smith (musician),Crystal Castles,5
Robert Smith (musician),David Bowie,6
Robert Smith (musician),Deftones,1
Robert Smith (musician),Depeche Mode,2
Robert Smith (musician),Gorillaz,2
Robert Smith (musician),Ian Curtis,1
Robert Smith (musician),Joy Division,3
Robert Smith (musician),Korn,3
Robert Smith (musician),Mogwai,1
Robert Smith (musician),Nick Drake,2
Robert Smith (musician),Nine Inch Nails,1
Robert Smith (musician),Placebo (band),2
Robert Smith (musician),Siouxsie Sioux,1
Robert Smith (musician),Siouxsie and the Banshees,24
Robert Smith (musician),Suede (band),1
Robert Smith (musician),The Cure,122
Robert Smith (musician),The Glove,17
Robert Smith (musician),The Passions (British band),1
Robert Smith (musician),The Rapture (band),1
Robert Smith (musician),The Sensational Alex Harvey Band,1
Robert Smith (musician),The Twilight Sad,4
Robert Smith (musician),Wire (band),3
Plexi,Bauhaus (band),1
Plexi,David Bowie,1
Plexi,She Wants Revenge,1
Plexi,The Cure,1
The Dandy Warhols,David Bowie,1
The Dandy Warhols,Dinosaur Jr.,1
The Dandy Warhols,The Cure,2
Paul Cunniffe,Nick Drake,1
Paul Cunniffe,The Cure,2
Paul Cunniffe,The Saw Doctors,3
Naked Giants,Joy Division,1
Naked Giants,The Cure,1
Beach Fossils,Joy Division,1
Beach Fossils,Slowdive,2
Beach Fossils,The Cure,1
Kaos India,Editors (band),1
Kaos India,Placebo (band),1
Kaos India,The Cure,1
James Mercer (musician),The Cure,1
Pigface,Big Black,1
Pigface,Godflesh,2
Pigface,Godhead (band),1
Pigface,Jesu (band),1
Pigface,Magazine (band),1
Pigface,Marilyn Manson (band),1
Pigface,Nine Inch Nails,6
Pigface,Pitchshifter,1
Pigface,Red Hot Chili Peppers,1
Pigface,Skinny Puppy,4
Pigface,The Cure,1
Pigface,The Smashing Pumpkins,1
Pigface,Trent Reznor,2
Drowse,Slowdive,1
Drowse,The Cure,1
Number One Fan (band),Dashboard Confessional,1
Number One Fan (band),The Cure,1
Levitation (band),Hawkwind,1
Levitation (band),The Cure,1
The Gun Club,Siouxsie and the Banshees,1
The Gun Club,The Cure,1
The Gun Club,The Sisters of Mercy,2
Superfamily (band),The Cure,1
AFI (band),Bauhaus (band),1
AFI (band),Davey Havok,11
AFI (band),David Bowie,1
AFI (band),Joy Division,1
AFI (band),Skinny Puppy,1
AFI (band),The Cure,1
AFI (band),The Sisters of Mercy,1
Videoclub,The Cure,1
The Saw Doctors,The Cure,3
The Saw Doctors,The Sensational Alex Harvey Band,1
Suede (band),David Bowie,3
Suede (band),Siouxsie Sioux,1
Suede (band),The Cranberries,2
Suede (band),The Cure,1
Suede (band),The Long Blondes,1
Whispers in the Shadow,The Cure,1
+44 (band),Blink-182,20
+44 (band),Mark Hoppus,6
+44 (band),Simple Creatures,1
+44 (band),The Cure,1
+44 (band),Tom DeLonge,5
Glassjaw,Deftones,3
Glassjaw,Faith No More,1
Glassjaw,Head Automatica,4
Glassjaw,Korn,2
Glassjaw,The Cure,1
The Devastations,The Cure,2
Cell 7,Depeche Mode,1
Cell 7,Nine Inch Nails,1
Cell 7,The Cure,1
Calogero (singer),The Cure,1
Sonus Quartet,John Frusciante,1
Sonus Quartet,The Cure,1
Energy (American band),AFI (band),1
Energy (American band),Davey Havok,1
Energy (American band),Our Time Down Here,1
Energy (American band),The Cure,1
Energy (American band),The Smashing Pumpkins,1
Massacre (Argentine band),The Cure,1
Bat for Lashes,Cat Power,1
Bat for Lashes,Depeche Mode,2
Bat for Lashes,Kate Bush,2
Bat for Lashes,Siouxsie Sioux,1
Bat for Lashes,The Cure,2
Red Hot Chili Peppers,Faith No More,1
Red Hot Chili Peppers,John Frusciante,7
Red Hot Chili Peppers,Joy Division,1
Red Hot Chili Peppers,Siouxsie and the Banshees,2
Red Hot Chili Peppers,The Cure,1
Eric Bradley,The Cure,2
Molchat Doma,Ash Code,1
Molchat Doma,Depeche Mode,1
Molchat Doma,Ian Curtis,1
Molchat Doma,Joy Division,2
Molchat Doma,The Cure,1
Klee (band),The Cure,1
Klee (band),The Wedding Present,1
Nick Drake,David Bowie,1
Nick Drake,Kate Bush,2
Nick Drake,Robert Smith (musician),2
Nick Drake,The Cure,3
Vienna In Love,Placebo (band),1
Vienna In Love,The Cure,1
Wildling (band),The Cure,1
Wildling (band),The Smashing Pumpkins,4
Cranes (band),The Cure,2
Zapato 3,Soda Stereo,2
Zapato 3,The Cure,1
Jars of Clay,The Cure,1
Bella Lune,Depeche Mode,1
Bella Lune,Joy Division,2
Bella Lune,Siouxsie and the Banshees,1
Bella Lune,The Birthday Massacre,1
Bella Lune,The Cure,2
Los Violadores,The Cure,1
The Hummingbirds,The Cure,2
Maldita Vecindad,Café Tacuba,2
Maldita Vecindad,Caifanes,1
Maldita Vecindad,Faith No More,1
Maldita Vecindad,Soda Stereo,1
Maldita Vecindad,The Cure,1
Love Amongst Ruin,Depeche Mode,2
Love Amongst Ruin,Placebo (band),3
Love Amongst Ruin,The Cure,3
Vondelpark (band),Ariel Pink,1
Vondelpark (band),The Cure,1
Vondelpark (band),The xx,1
Motionless in White,AFI (band),1
Motionless in White,Bauhaus (band),1
Motionless in White,Depeche Mode,2
Motionless in White,Korn,2
Motionless in White,Marilyn Manson (band),3
Motionless in White,Nine Inch Nails,1
Motionless in White,The Cure,1
Motionless in White,The Sisters of Mercy,1
RBD,The Cure,1
Deftones,Chino Moreno,9
Deftones,Depeche Mode,2
Deftones,Faith No More,2
Deftones,Korn,3
Deftones,Robert Smith (musician),1
Deftones,The Cure,4
Animal Collective,The Cure,1
Animal Collective,The Rapture (band),1
Half Life Half Death,Depeche Mode,1
Half Life Half Death,The Cure,3
Gay Dad,The Cure,1
Depeche Mode,A Perfect Circle,1
Depeche Mode,David Bowie,4
Depeche Mode,Deftones,1
Depeche Mode,Nine Inch Nails,1
Depeche Mode,Siouxsie and the Banshees,2
Depeche Mode,The Cure,2
Bit by Bats,Joy Division,1
Bit by Bats,The Cure,1
Bit by Bats,Wire (band),1
And One,Depeche Mode,2
And One,The Cure,1
Ian Curtis,David Bowie,3
Ian Curtis,Editors (band),1
Ian Curtis,Interpol (band),1
Ian Curtis,Joy Division,47
Ian Curtis,The Cure,1
David Thibault,The Cure,2
Mariee Sioux,The Cure,3
Black Foxxes,The Cure,2
Trivalia,Joy Division,1
Trivalia,Skinny Puppy,1
Trivalia,The Cure,1
Trivalia,The Mission (band),1
Trivalia,The Sisters of Mercy,2
British Sea Power,Joy Division,1
British Sea Power,The Cult,1
British Sea Power,The Cure,1
Lakyn Heperi,The Cure,2
The Deluxtone Rockets,The Cure,2
Justin Furstenfeld,Bauhaus (band),1
Justin Furstenfeld,The Cure,2
The Long Blondes,Diana Dors,3
The Long Blondes,Siouxsie and the Banshees,3
The Long Blondes,Suede (band),2
The Long Blondes,The Cure,1
Astral (band),Joy Division,1
Astral (band),The Cure,1
Kyle DiFulvio,Scarling.,7
Kyle DiFulvio,The Cure,1
Certain General,David Bowie,1
Certain General,The Cure,1
Certain General,The Sisters of Mercy,1
David Draiman,The Cure,1
Fightstar,Deftones,2
Fightstar,Faith No More,2
Fightstar,Pitchshifter,1
Fightstar,The Cure,1
Hawkwind,David Bowie,1
Hawkwind,The Cure,1
Dean & Britta,The Cure,2
Placebo (band),Billy Corgan,1
Placebo (band),David Bowie,5
Placebo (band),Depeche Mode,3
Placebo (band),Justin Warfield,2
Placebo (band),Love Amongst Ruin,1
Placebo (band),My Chemical Romance,2
Placebo (band),Nine Inch Nails,1
Placebo (band),Red Hot Chili Peppers,1
Placebo (band),Robert Smith (musician),2
Placebo (band),Siouxsie and the Banshees,1
Placebo (band),Stabbing Westward,1
Placebo (band),Suede (band),1
Placebo (band),The Cure,6
Placebo (band),The Smashing Pumpkins,1
Cabine C,Siouxsie and the Banshees,1
Cabine C,The Cure,1
Sexepil,David Bowie,1
Sexepil,Joy Division,1
Sexepil,The Cure,1
Real Life (band),Depeche Mode,1
Real Life (band),The Cure,1
Real Life (band),Wire (band),1
Orange and Lemons,The Cure,1
The Wedding Present,Big Black,1
The Wedding Present,The Cure,2
The Twilight Sad,Editors (band),1
The Twilight Sad,Joy Division,1
The Twilight Sad,Mogwai,7
The Twilight Sad,Robert Smith (musician),2
The Twilight Sad,Siouxsie and the Banshees,1
The Twilight Sad,The Cure,5
The Twilight Sad,The Smashing Pumpkins,1
The Twilight Sad,Wire (band),1
Paramore,Blink-182,1
Paramore,Faith No More,1
Paramore,Hayley Williams,28
Paramore,Lostprophets,1
Paramore,Nine Inch Nails,1
Paramore,Placebo (band),1
Paramore,Siouxsie Sioux,1
Paramore,Siouxsie and the Banshees,1
Paramore,The Cure,1
Feline (band),Siouxsie and the Banshees,1
Feline (band),The Cure,4
Feline (band),The Smashing Pumpkins,1
The Big Pink,Ariel Pink,1
The Big Pink,Crystal Castles,2
The Big Pink,Siouxsie and the Banshees,1
The Big Pink,The Cure,3
Los Prisioneros,Depeche Mode,1
Los Prisioneros,Soda Stereo,5
Los Prisioneros,The Cure,1
Edsel Auctioneer,Dinosaur Jr.,1
Edsel Auctioneer,The Cure,1
Edsel Auctioneer,The Wedding Present,1
The Lotus Eaters (band),The Cure,2
Godhead (band),David Bowie,2
Godhead (band),Depeche Mode,1
Godhead (band),Marilyn Manson (band),2
Godhead (band),Nine Inch Nails,2
Godhead (band),The Cure,1
Soda Stereo,David Bowie,2
Soda Stereo,Los Prisioneros,1
Soda Stereo,The Cure,1
The Sensational Alex Harvey Band,The Cure,1
Jared Leto,The Cure,2
Jared Leto,Thirty Seconds to Mars,34
Superchunk,The Cure,1
Velvet Acid Christ,Siouxsie and the Banshees,1
Velvet Acid Christ,Skinny Puppy,1
Velvet Acid Christ,The Cure,1
Jesu (band),Godflesh,6
Jesu (band),Mogwai,1
Jesu (band),The Cure,2
Fink (singer),The Cure,1
Ariel Pink,Animal Collective,6
Ariel Pink,Bauhaus (band),2
Ariel Pink,Charli XCX,1
Ariel Pink,Republica,2
Ariel Pink,The Cure,7
The Smashing Pumpkins,A Perfect Circle,2
The Smashing Pumpkins,Bauhaus (band),1
The Smashing Pumpkins,Billy Corgan,18
The Smashing Pumpkins,Blink-182,1
The Smashing Pumpkins,Chino Moreno,2
The Smashing Pumpkins,David Bowie,1
The Smashing Pumpkins,Depeche Mode,1
The Smashing Pumpkins,Gerard Way,3
The Smashing Pumpkins,Joy Division,2
The Smashing Pumpkins,Marilyn Manson (band),2
The Smashing Pumpkins,Mark Hoppus,1
The Smashing Pumpkins,My Chemical Romance,2
The Smashing Pumpkins,Nine Inch Nails,1
The Smashing Pumpkins,Red Hot Chili Peppers,1
The Smashing Pumpkins,Siouxsie and the Banshees,2
The Smashing Pumpkins,Slowdive,1
The Smashing Pumpkins,Starchildren,1
The Smashing Pumpkins,The Cure,3
Red Sparowes,The Cure,1
Justin Warfield,Bauhaus (band),1
Justin Warfield,Depeche Mode,2
Justin Warfield,Interpol (band),1
Justin Warfield,Joy Division,1
Justin Warfield,Placebo (band),2
Justin Warfield,She Wants Revenge,7
Justin Warfield,The Cure,1
Charli XCX,Crystal Castles,2
Charli XCX,David Bowie,1
Charli XCX,Gwen Stefani,2
Charli XCX,Halsey (singer),1
Charli XCX,Kate Bush,2
Charli XCX,Paramore,2
Charli XCX,Siouxsie Sioux,2
Charli XCX,Siouxsie and the Banshees,1
Charli XCX,The Cure,1
Marilyn Manson (band),Bauhaus (band),1
Marilyn Manson (band),Big Black,1
Marilyn Manson (band),Billy Corgan,2
Marilyn Manson (band),Charli XCX,1
Marilyn Manson (band),David Bowie,7
Marilyn Manson (band),Depeche Mode,2
Marilyn Manson (band),Godhead (band),1
Marilyn Manson (band),Halsey (singer),1
Marilyn Manson (band),Jessicka,4
Marilyn Manson (band),Korn,4
Marilyn Manson (band),Motionless in White,1
Marilyn Manson (band),My Chemical Romance,1
Marilyn Manson (band),Nine Inch Nails,7
Marilyn Manson (band),Republica,5
Marilyn Manson (band),Skinny Puppy,1
Marilyn Manson (band),The Cure,1
Marilyn Manson (band),The Smashing Pumpkins,5
Marilyn Manson (band),Trent Reznor,2
Catchers (band),Nick Drake,1
Catchers (band),The Cure,1
Faith No More,Bauhaus (band),1
Faith No More,Chino Moreno,1
Faith No More,Godflesh,1
Faith No More,Korn,4
Faith No More,Red Hot Chili Peppers,3
Faith No More,Siouxsie and the Banshees,4
Faith No More,The Cure,1
Helen Boulding,The Cure,1
Fools Dance,Presence (band),1
Fools Dance,The Cure,2
Fools Dance,The Magazine Spies,1
Kevin Mitchell (musician),Robert Smith (musician),1
Kevin Mitchell (musician),The Cure,1
Kevin Mitchell (musician),The Smashing Pumpkins,2
Coaltar of the Deepers,The Cure,1
Milla Jovovich,A Perfect Circle,1
Milla Jovovich,Alkaline Trio,1
Milla Jovovich,John Frusciante,1
Milla Jovovich,Kate Bush,2
Milla Jovovich,Nine Inch Nails,1
Milla Jovovich,Red Hot Chili Peppers,1
Milla Jovovich,The Cure,1
Bad Suns,The Cure,2
Ella Riot,The Cure,1
Tom Rodriguez,The Cure,2
Katie Melua,The Cult,1
Katie Melua,The Cure,1
Scarling.,Cursive (band),1
Scarling.,Depeche Mode,1
Scarling.,Interpol (band),1
Scarling.,Jessicka,13
Scarling.,Mogwai,1
Scarling.,Placebo (band),1
Scarling.,Robert Smith (musician),2
Scarling.,The Cure,2
Scarling.,The Rapture (band),1
Scarling.,The Wedding Present,1
Dinosaur Jr.,The Cure,1
Pyeng Threadgill,The Cure,2
Year of No Light,The Cure,1
Antarctica (band),The Cure,1
Koufax (band),The Cure,3
Enormous (band),The Cure,1
Chino Moreno,Deftones,28
Chino Moreno,Depeche Mode,1
Chino Moreno,Faith No More,3
Chino Moreno,Interpol (band),1
Chino Moreno,Korn,1
Chino Moreno,Mogwai,3
Chino Moreno,The Cure,2
Chino Moreno,The Smashing Pumpkins,2
Chino Moreno,Thirty Seconds to Mars,1
The Cure,Billy Corgan,1
The Cure,David Bowie,2
The Cure,Deftones,1
The Cure,Depeche Mode,1
The Cure,Fools Dance,2
The Cure,Interpol (band),3
The Cure,Mogwai,2
The Cure,Nine Inch Nails,1
The Cure,Placebo (band),1
The Cure,Presence (band),1
The Cure,Robert Smith (musician),16
The Cure,Siouxsie and the Banshees,5
The Cure,The Glove,1
The Cure,The Magazine Spies,2
The Cure,The Passions (British band),1
The Cure,The Rapture (band),1
The Cure,The Smashing Pumpkins,1
The Cure,Trent Reznor,1
Nicestupidplayground,The Cure,1
Sennen (band),Mogwai,1
Sennen (band),The Cure,2
Sunflower Bean,Beach Fossils,1
Sunflower Bean,The Cure,1
Siouxsie and the Banshees,A Perfect Circle,1
Siouxsie and the Banshees,Billy Corgan,1
Siouxsie and the Banshees,Depeche Mode,2
Siouxsie and the Banshees,Faith No More,1
Siouxsie and the Banshees,John Frusciante,1
Siouxsie and the Banshees,Joy Division,4
Siouxsie and the Banshees,Magazine (band),1
Siouxsie and the Banshees,Red Hot Chili Peppers,1
Siouxsie and the Banshees,Robert Smith (musician),3
Siouxsie and the Banshees,Siouxsie Sioux,6
Siouxsie and the Banshees,Slowdive,2
Siouxsie and the Banshees,Suede (band),1
Siouxsie and the Banshees,The Cure,6
Siouxsie and the Banshees,The Glove,2
Siouxsie and the Banshees,Wire (band),1
Agentss,Bauhaus (band),1
Agentss,The Cure,1
Magazine (band),Siouxsie and the Banshees,2
Magazine (band),The Cure,2
Magazine (band),The Mission (band),1
Anajo,Klee (band),1
Anajo,The Cure,2
Red Temple Spirits,The Cure,1
Pato Fu,The Cure,1
Hoodlum Priest (musician),Pigface,1
Hoodlum Priest (musician),SPK (band),3
Hoodlum Priest (musician),The Cure,3
2:54,Curve (band),1
2:54,The Big Pink,1
2:54,The Cure,1
2:54,The xx,1
Kumbia Queers,The Cure,1
Editors (band),Depeche Mode,1
Editors (band),Interpol (band),2
Editors (band),Joy Division,3
Editors (band),Slowdive,1
Editors (band),The Cure,3
Editors (band),Tom Smith (musician),6
The Rapture (band),Interpol (band),1
The Rapture (band),Mogwai,1
The Rapture (band),The Cure,1
The Pulsars,The Cure,2
Kekal,Depeche Mode,1
Kekal,Godflesh,1
Kekal,Joy Division,1
Kekal,The Cure,1
She Wants Revenge,Bauhaus (band),1
She Wants Revenge,Depeche Mode,1
She Wants Revenge,Justin Warfield,3
She Wants Revenge,Placebo (band),1
She Wants Revenge,The Cure,1
The Ceremonies,The Cure,1
Cat Power,David Bowie,1
Cat Power,Siouxsie and the Banshees,1
Cat Power,The Cure,1
Victoria Legrand,The Cure,1
Conor Oberst,Cursive (band),5
Conor Oberst,Phoebe Bridgers,3
Conor Oberst,Robert Smith (musician),1
Conor Oberst,The Cure,2
Gorillaz,Paramore,1
Gorillaz,Robert Smith (musician),1
Gorillaz,The Cure,1
Gorillaz,Wire (band),1
The Ropes,Interpol (band),1
The Ropes,The Cure,1
My Chemical Romance,Alkaline Trio,2
My Chemical Romance,Bauhaus (band),1
My Chemical Romance,David Bowie,2
My Chemical Romance,Frank Iero,14
My Chemical Romance,Gerard Way,22
My Chemical Romance,Joy Division,1
My Chemical Romance,Placebo (band),1
My Chemical Romance,Siouxsie and the Banshees,1
My Chemical Romance,The Cure,1
My Chemical Romance,The Smashing Pumpkins,1
Crystal Castles,Depeche Mode,1
Crystal Castles,Nine Inch Nails,1
Crystal Castles,Robert Smith (musician),4
Crystal Castles,The Cure,3
Blackblack,Bauhaus (band),1
Blackblack,Joy Division,1
Blackblack,The Cure,1
The Belltower,Ivy (band),1
The Belltower,The Cure,1
Siouxsie Sioux,Cat Power,1
Siouxsie Sioux,Charli XCX,3
Siouxsie Sioux,Curve (band),1
Siouxsie Sioux,David Bowie,1
Siouxsie Sioux,Depeche Mode,1
Siouxsie Sioux,Hayley Williams,3
Siouxsie Sioux,Joy Division,2
Siouxsie Sioux,Paramore,2
Siouxsie Sioux,Red Hot Chili Peppers,1
Siouxsie Sioux,Robert Smith (musician),2
Siouxsie Sioux,Siouxsie and the Banshees,31
Siouxsie Sioux,Slowdive,4
Siouxsie Sioux,Suede (band),2
Siouxsie Sioux,The Cranberries,1
Siouxsie Sioux,The Cure,4
Siouxsie Sioux,The Long Blondes,1
Siouxsie Sioux,Wire (band),1
Tom Smith (musician),Editors (band),13
Tom Smith (musician),Ian Curtis,1
Tom Smith (musician),Indochine (band),2
Tom Smith (musician),Interpol (band),1
Tom Smith (musician),Joy Division,1
Tom Smith (musician),Mogwai,1
Tom Smith (musician),Robert Smith (musician),1
Tom Smith (musician),The Cure,1
Extol,Faith No More,1
Extol,The Cure,1
Gerard Way,Head Automatica,3
Gerard Way,My Chemical Romance,17
Gerard Way,The Cure,2
The Birthday Massacre,Curve (band),1
The Birthday Massacre,Deadsy,1
The Birthday Massacre,Depeche Mode,1
The Birthday Massacre,London After Midnight (band),1
The Birthday Massacre,The Cure,1
Billy Corgan,Bauhaus (band),2
Billy Corgan,David Bowie,1
Billy Corgan,Depeche Mode,1
Billy Corgan,Dinosaur Jr.,1
Billy Corgan,Korn,2
Billy Corgan,Marilyn Manson (band),2
Billy Corgan,Robert Smith (musician),1
Billy Corgan,Siouxsie and the Banshees,1
Billy Corgan,Starchildren,1
Billy Corgan,The Cure,4
Billy Corgan,The Smashing Pumpkins,27
Plastic Little (band),The Cure,2
Utada Hikaru,Nine Inch Nails,1
Utada Hikaru,The Cure,1
Gwen Stefani,Charli XCX,1
Gwen Stefani,Hayley Williams,1
Gwen Stefani,Paramore,1
Gwen Stefani,The Cure,1
Burning Image,The Cure,1
Rock Kills Kid,She Wants Revenge,1
Rock Kills Kid,The Cure,1
The Cult,Bauhaus (band),2
The Cult,Joy Division,1
The Cult,Page and Plant,1
The Cult,Siouxsie and the Banshees,2
The Cult,The Cure,1
The Cult,The Mission (band),1
Head Automatica,Glassjaw,3
Head Automatica,Gorillaz,1
Head Automatica,Interpol (band),1
Head Automatica,Rock Kills Kid,2
Head Automatica,The Cure,1
Head Automatica,The Rapture (band),1
Head Automatica,Thirty Seconds to Mars,1
Chorusgirl,The Cure,1
Beangrowers,Depeche Mode,1
Beangrowers,Joy Division,1
