Source,Target,Weight
Jefferson Airplane,Centr,2
Jefferson Airplane,The Beatles,4
Jefferson Airplane,The Doors,2
Jefferson Airplane,The Kings,1
Jefferson Airplane,The Rolling Stones,1
The Honeycombs,Ray Davies,1
The Honeycombs,The Kinks,1
Argent (band),The Kinks,2
Jerry Lee Lewis,The Beatles,1
Peter Frampton,Jerry Lee Lewis,1
Peter Frampton,Small Faces,1
Peter Frampton,Steve Marriott,2
Peter Frampton,The Beatles,4
Peter Frampton,The Rolling Stones,1
Peter Frampton,The Who,1
Pretty Things,Centr,1
Pretty Things,The Beatles,1
Pretty Things,The Kinks,3
Pretty Things,The Rolling Stones,1
Pretty Things,The Who,2
The Jeff Beck Group,The Beatles,1
The Jeff Beck Group,The Yardbirds,3
The Yardbirds,Brian May,1
The Yardbirds,The Creation (band),1
The Yardbirds,The Jeff Beck Group,1
The Yardbirds,The Rolling Stones,2
The Yardbirds,The Who,3
The Clash,Ramones,2
The Clash,The Vines (band),1
The Clash,The Who,1
The Clash,Van Halen,1
The Pretenders,Centr,1
The Pretenders,Chrissie Hynde,2
The Pretenders,The Clash,1
The Pretenders,The Kinks,1
The Jam,Ray Davies,2
The Jam,Steve Marriott,1
The Jam,The Beatles,6
The Jam,The Clash,1
The Jam,The Kinks,2
The Jam,The Who,5
The Creation (band),Pete Quaife,1
The Creation (band),The Kinks,2
The Creation (band),The Rolling Stones,1
The Creation (band),The Who,1
Love (band),The Rolling Stones,2
Love (band),The Yardbirds,1
Brian May,Queen (band),100
Brian May,The Beatles,1
Brian May,The Who,2
Brian May,Van Halen,2
Steve Marriott,Blondie (band),1
Steve Marriott,Peter Frampton,5
Steve Marriott,Small Faces,36
Steve Marriott,The Kinks,1
Craig Nicholls,The Beatles,2
Craig Nicholls,The Vines (band),11
Small Faces,Peter Frampton,3
Small Faces,Steve Marriott,8
Small Faces,The Jeff Beck Group,1
Small Faces,The Who,3
The Kingsmen,The Kings,52
Blur (band),Oasis (band),7
Blur (band),The Beatles,1
Blur (band),The Kinks,1
The Fall (band),The Kinks,4
The Raincoats,Pulp (band),1
The Raincoats,The Kinks,2
Ray Davies,Chrissie Hynde,2
Ray Davies,Pete Quaife,1
Ray Davies,The Beatles,1
Ray Davies,The Fall (band),1
Ray Davies,The Honeycombs,1
Ray Davies,The Jam,1
Ray Davies,The Kinks,49
Ray Davies,The Pretenders,4
Ray Davies,The Rolling Stones,1
Ray Davies,The Who,1
Ray Davies,The Yardbirds,1
Ray Davies,Van Halen,1
The Who,Blur (band),1
The Who,Oasis (band),2
The Who,Ramones,1
The Who,Small Faces,3
The Who,The Beatles,3
The Who,The Clash,2
The Who,The Doors,1
The Who,The Jam,2
The Who,The Kinks,3
The Who,The Rolling Stones,4
Blondie (band),Ramones,1
Blondie (band),The Pretenders,1
Blondie (band),The Who,1
The Kinks,Alexis Korner's Blues Incorporated,1
The Kinks,Argent (band),5
The Kinks,Blondie (band),1
The Kinks,Blur (band),2
The Kinks,Brian May,1
The Kinks,Centr,1
The Kinks,Chrissie Hynde,1
The Kinks,Craig Nicholls,1
The Kinks,Jefferson Airplane,1
The Kinks,Jerry Lee Lewis,1
The Kinks,Love (band),1
The Kinks,Manfred Mann,2
The Kinks,Oasis (band),2
The Kinks,Pete Quaife,12
The Kinks,Peter Frampton,1
The Kinks,Pretty Things,3
The Kinks,Pulp (band),1
The Kinks,Queen (band),1
The Kinks,Ramones,1
The Kinks,Ray Davies,55
The Kinks,Small Faces,1
The Kinks,Steve Marriott,1
